topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1400Hz,6.140000000000001,u,1,1,8.0,240,6.14,0.5 1 2 5 10 100,12,6,10.898687880396889,0.5302655451315504,0.4243455180908384,0.5106959481055173,0.3756642779728518,1.5736411425560277,0.49975570036912764,1.5736411425560277
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1500Hz,6.15,u,1,1,1.0,30,6.15,0.5 1 2 5 10 100,12,4,8.970686023801955,0.5490534596689701,0.6180854599870454,0.5621400991061491,0.398657622125576,1.001584580889403,0.4611113022641285,1.001584580889403
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1500Hz,6.15,u,1,1,2.0,60,6.15,0.5 1 2 5 10 100,12,5,25.014860403362597,0.47389388328562193,0.44323977154447486,0.4680826753563288,0.35334972703311035,0.918384859970847,0.4118784143750891,0.918384859970847
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1500Hz,6.15,u,1,1,3.0,90,6.15,0.5 1 2 5 10 100,12,6,21.374812430666932,0.474525445565868,0.4248219095475094,0.46510297118256777,0.3508960666631904,0.8658562159126166,0.4042377790843178,0.8658562159126166
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1500Hz,6.15,u,1,1,5.0,150,6.15,0.5 1 2 5 10 100,12,6,14.119149652093537,0.5762189606872882,0.5361662950861971,0.5686103572865584,0.3429373396597122,0.7929884682721537,0.3895555059629476,0.7929884682721537
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1500Hz,6.15,u,1,1,8.0,240,6.15,0.5 1 2 5 10 100,12,6,10.57736184607138,0.5463581428544694,0.45171489564406303,0.5288720237428208,0.37183181254940817,1.4882645708006612,0.4874765575164978,1.4882645708006612
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1600Hz,6.16,u,1,1,1.0,30,6.16,0.5 1 2 5 10 100,12,4,9.261977792833537,0.551351122346868,0.6239541435532722,0.5651147327913024,0.40233654261281837,1.008022781483269,0.4650760404523164,1.008022781483269
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1600Hz,6.16,u,1,1,2.0,60,6.16,0.5 1 2 5 10 100,12,5,24.829044124170736,0.47276393168323017,0.44527616874947257,0.4675529796495174,0.35276694163593086,0.919066780167451,0.41142663243939925,0.919066780167451
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1600Hz,6.16,u,1,1,3.0,90,6.16,0.5 1 2 5 10 100,12,6,20.84542401549427,0.47176788876613335,0.42938362594254387,0.4637329547815003,0.3525912325336834,0.8674636183721981,0.4059238540559665,0.8674636183721981
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1600Hz,6.16,u,1,1,5.0,150,6.16,0.5 1 2 5 10 100,12,6,15.25925893205541,0.597687483520517,0.5850307345672758,0.5952831445911951,0.34866045101477056,0.8210719525914286,0.3975947976788067,0.8210719525914286
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1600Hz,6.16,u,1,1,8.0,240,6.16,0.5 1 2 5 10 100,12,6,10.408650877067052,0.5593706050912557,0.4825263032107108,0.5451729876664496,0.371812475958802,1.4140851211593453,0.4797754082084708,1.4140851211593453
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1700Hz,6.17,u,1,1,1.0,30,6.17,0.5 1 2 5 10 100,12,4,9.555241145336504,0.5539113537392497,0.6302529814386824,0.5683837049842743,0.4062098883483231,1.0150094151671103,0.4692718734922585,1.0150094151671103
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1700Hz,6.17,u,1,1,2.0,60,6.17,0.5 1 2 5 10 100,12,5,24.75054875591724,0.472011069056289,0.447576507458126,0.46737892315341373,0.3524124905240071,0.9197995379136064,0.4111847989394087,0.9197995379136064
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1700Hz,6.17,u,1,1,3.0,90,6.17,0.5 1 2 5 10 100,12,6,20.400811668761833,0.4694597180385713,0.43503544844209,0.4629337880058094,0.3550222477545871,0.8702801598738855,0.4083948036912712,0.8702801598738855
