topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,refined_single,refined_5.4800Hz,5.48,u,1,1,1.0,5,5.48,0.4276118375007263,0.004406138858343129,0.9040895930182113,0.0049023320596656,0.4788908276752479,0.004678364271894598,6.953614652438491,0.017133045204100292
topology_17_prestress,amp=1,refined_single,refined_5.4800Hz,5.48,u,1,1,2.0,5,5.48,0.42106749043573,0.003907196602240839,0.9275458173863524,0.008243732638071703,0.47557019970496117,0.0038910971478931656,25.03150892812072,0.03794972234523445
topology_17_prestress,amp=1,refined_single,refined_5.4800Hz,5.48,u,1,1,3.0,5,5.48,0.45533184998734466,0.005096893355143249,1.0007908441721347,0.010937398141355704,0.5140522522550247,0.006527785285110208,19.0160460788672,0.07519118441453554
topology_17_prestress,amp=1,refined_single,refined_5.4800Hz,5.48,u,1,1,5.0,5,5.48,0.4438019819153185,0.0037829697362228407,0.9554674471202163,0.02245777275848671,0.4989174788990569,0.006656958729009431,12.057237514661221,0.056335169307858
topology_17_prestress,amp=1,refined_single,refined_5.4800Hz,5.48,u,1,1,8.0,5,5.48,0.42600826901984057,0.004770748196726907,1.0048763794881688,0.03044833904192168,0.4883638608372296,0.008266643316489353,31.656850716924758,0.18384302131488486
topology_17_prestress,amp=1,refined_single,refined_5.4900Hz,5.49,u,1,1,1.0,5,5.49,0.4267507364190008,0.004500059710847206,0.9061222770577725,0.0050405589492720304,0.47834063028780943,0.00474844951920998,6.840851987426667,0.014432209045651737
topology_17_prestress,amp=1,refined_single,refined_5.4900Hz,5.49,u,1,1,2.0,5,5.49,0.4183824766184373,0.004286791329129901,0.9213905223988658,0.007818146097364335,0.4725101822308887,0.004197256050986553,25.394928060035113,0.0556700542594061
topology_17_prestress,amp=1,refined_single,refined_5.4900Hz,5.49,u,1,1,3.0,5,5.49,0.45705944697453404,0.005211524989035911,1.0048350571608775,0.010625884317702363,0.516029153386335,0.00661865571571944,18.468627405575443,0.07202681427296868
topology_17_prestress,amp=1,refined_single,refined_5.4900Hz,5.49,u,1,1,5.0,5,5.49,0.4432847773696002,0.004231165673294705,0.9542752515772396,0.023635253338312023,0.4983293091592366,0.007189233096196452,11.606341144788,0.06339644194303123
topology_17_prestress,amp=1,refined_single,refined_5.4900Hz,5.49,u,1,1,8.0,5,5.49,0.4286745393032573,0.00474190372372248,0.9926602510697009,0.031427227109778196,0.48942896458126467,0.008301440707355532,30.476315600441303,0.18685842667474464
topology_17_prestress,amp=1,refined_single,refined_5.5000Hz,5.5,u,1,1,1.0,5,5.5,0.42591367265907437,0.004585558879235647,0.9081239312888674,0.005178426096680109,0.47780856856523235,0.004811214983914393,6.765141633464883,0.010319015150236484
topology_17_prestress,amp=1,refined_single,refined_5.5000Hz,5.5,u,1,1,2.0,5,5.5,0.42509350186900524,0.00520525426498125,0.9006445281845116,0.0051807798881597774,0.4762676168232794,0.005229143179805311,25.42506432347875,0.09985554042917398
topology_17_prestress,amp=1,refined_single,refined_5.5000Hz,5.5,u,1,1,3.0,5,5.5,0.4583554431488642,0.005289612631710403,1.0071719947944195,0.010241279352570158,0.5174370172719607,0.006664137374022606,18.195786729426224,0.0361858010977954
topology_17_prestress,amp=1,refined_single,refined_5.5000Hz,5.5,u,1,1,5.0,5,5.5,0.44216338023334273,0.0046296739352030426,0.9544720255276099,0.024347195136548528,0.49735062784838424,0.007631318986161451,11.411011061339632,0.06653551330928228
topology_17_prestress,amp=1,refined_single,refined_5.5000Hz,5.5,u,1,1,8.0,5,5.5,0.43218281150859694,0.004612093603543062,0.9848920093113069,0.030605241265906524,0.49172059968078996,0.008037334592212916,29.81468618176175,0.1856762753507018
topology_17_prestress,amp=1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,1.0,5,5.51,0.42511500412678443,0.004663063019845856,0.9100685519932086,0.005314838932053566,0.4773046572194005,0.004867089162220823,6.741844594306144,0.006290872873254919
topology_17_prestress,amp=1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,2.0,5,5.51,0.4402585759359242,0.004399361141211401,0.8886679276791621,0.004190372225882932,0.4885164561173333,0.004690238208450117,24.94912163483646,0.11201119662722114
topology_17_prestress,amp=1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,3.0,5,5.51,0.45918481546370965,0.005323569551223253,1.008065522291443,0.009809285628658489,0.5182730370738282,0.006660643378863473,18.496760511529942,0.028697206199632723
topology_17_prestress,amp=1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,5.0,5,5.51,0.4407522023767455,0.004964966016075927,0.9556105106703037,0.024683025105048034,0.49621405586683487,0.007978792156731146,11.515104516365533,0.06621626497644974
topology_17_prestress,amp=1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,8.0,5,5.51,0.4337733156878585,0.0043866930109683865,0.9777864420641732,0.028793732280735732,0.49237039977089775,0.00757057215058366,29.621751598814694,0.17784332322879265
topology_17_prestress,amp=1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,1.0,5,5.52,0.42436684575979483,0.004733053175015836,0.9119357775702408,0.00544888226673369,0.4768375159008018,0.004916527650409015,6.774957178343863,0.005941868117542527
topology_17_prestress,amp=1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,2.0,5,5.52,0.4450904196916765,0.004194952526083753,0.8866895054768833,0.004219801732507883,0.4926164580406982,0.004527274611236643,24.361877841277074,0.10627673534893048
topology_17_prestress,amp=1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,3.0,5,5.52,0.4594852875677368,0.005307654332661791,1.0077659285838358,0.009349975057947909,0.5185086189281255,0.006605807765226726,18.9389102802541,0.030020049998644827
