topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,loading
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.3302589168257357
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,0.19767745138547121
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.17090696372250508
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.055194763846820816
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.027709735863023166
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.34395160740906905
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,0.25841215864033
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.32040555848396357
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,-0.3149532199129128
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.3255755803384643
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.32623986122152093
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.30924464299683807
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.3176986780953863
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.26958277582519324
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.2805183892056652
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.2491891728530292
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,-0.2587605526312663
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.22942640729453945
topology_17_prestress,amp=1,sample_2,K1_L8,0,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.23684163269419822
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.113062648271425
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.14395559757932314
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.2099074329512365
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,0.21018480592510774
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.29927331638394034
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,0.28363291657732687
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.3504447455568085
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,0.33030996834733584
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.35685390287940266
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.33529868163329796
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.3554583164967889
topology_17_prestress,amp=1,sample_2,K1_L8,1,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,0.33197284169922775
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.4164000615349422
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,-0.4046933017137006
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.2486828055313489
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.25892097066817343
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.014580175755388988
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.027980711929428248
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,0.209188993915973
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,0.22899721273239443
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,0.28071527256231354
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.3172800566001859
topology_17_prestress,amp=1,sample_2,K1_L8,2,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,0.33334154662597576
