frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
refined_single,refined_5.7500Hz,5.75,u,1,1,1,2.0,60,5,5.75,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,30.513353068011348,0.06264714614855961,0.6703770962732472,0.005058801405740965,0.4931693357214096,0.015360166208562209,0.6373202252621312,0.006511628079794136,0.5069259180220465,0.005729269967411506,0.9089807082291751,0.00676423666336447,0.5501825690860318,0.0053291861315748,0.9089807082291751,0.00676423666336447
refined_single,refined_5.7600Hz,5.760000000000001,u,1,1,1,2.0,60,5,5.76,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,31.03564028428054,0.061505988076573474,0.6401900935496234,0.0031311304677503473,0.4703024946129286,0.014481179055193196,0.6084975118284884,0.004624917576204427,0.5147536715215875,0.004963627635757376,0.9000903685751467,0.008714875370346042,0.5562072677586649,0.004341752808574033,0.9000903685751467,0.008714875370346042
refined_single,refined_5.7700Hz,5.7700000000000005,u,1,1,1,2.0,60,5,5.77,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,31.143622371236155,0.06659920774283902,0.5914737860789148,0.0021949712630989935,0.4561893121799991,0.01332226683744452,0.5662324537401817,0.0030007153624842875,0.4944889380807025,0.0038944266262643484,0.887723025898776,0.01099803483302367,0.5367898672286632,0.0031580333436567833,0.887723025898776,0.01099803483302367
refined_single,refined_5.7800Hz,5.78,u,1,1,1,2.0,60,5,5.78,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,30.887151315957727,0.07298938070720187,0.551481643775347,0.0019496869570203267,0.45301802698137894,0.012404227637096659,0.533105019628132,0.0019787613058006542,0.4637220427388799,0.0033438803365461486,0.880419947412553,0.012460839718566114,0.5085469879059212,0.00257379713331696,0.880419947412553,0.012460839718566114
refined_single,refined_5.7900Hz,5.79,u,1,1,1,2.0,60,5,5.79,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,30.418338507494127,0.07604255779100247,0.5256227180653552,0.002037772204881629,0.4532899826382112,0.011860599050625201,0.5121176800401678,0.0014362517362128291,0.4392848469416264,0.0030683455144402123,0.877604900444086,0.013248481501680636,0.4864364214801841,0.002290356506542861,0.877604900444086,0.013248481501680636
refined_single,refined_5.8000Hz,5.800000000000001,u,1,1,1,2.0,60,5,5.8,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,29.83777386535934,0.07634450245159943,0.5085702274834766,0.00219408636890202,0.4537632182377201,0.011564786303027827,0.49833242114961623,0.0011454081185484682,0.42211756604951134,0.0029108775439623284,0.8767006353615867,0.013683021803939306,0.47101935987831245,0.0021386016224813594,0.8767006353615867,0.013683021803939306
refined_single,refined_5.8100Hz,5.8100000000000005,u,1,1,1,2.0,60,5,5.81,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,29.20341365938227,0.0748439369960285,0.4965420509736528,0.0023333894811526073,0.4538525279990286,0.011405873262325115,0.48856318117242303,0.0009751028138393961,0.41001744554116915,0.0028058567182634585,0.8765437917872625,0.01394040460359119,0.46020468177309065,0.0020437033714141217,0.8765437917872625,0.01394040460359119
refined_single,refined_5.8200Hz,5.82,u,1,1,1,2.0,60,5,5.82,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,28.555857610565845,0.07211290216614744,0.48757592723900556,0.0024470777564664613,0.45360052051723815,0.011321375692791926,0.4812214938409376,0.0008686187858209949,0.4012749813286198,0.0027282295391121113,0.8767049462250741,0.014105064234469987,0.4524205587694808,0.001976052307359946,0.8767049462250741,0.014105064234469987
refined_single,refined_5.8300Hz,5.83,u,1,1,1,2.0,60,5,5.83,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,27.928693289133037,0.06849199059257717,0.480625000235764,0.0025392739201426555,0.4531466098555931,0.011277100017710763,0.475481673851064,0.0007999053641259044,0.39479208886933026,0.002667147024823595,0.8770182121174315,0.014218852051324156,0.4466691985516995,0.0019233112044348799,0.8770182121174315,0.014218852051324156
refined_single,refined_5.8400Hz,5.840000000000001,u,1,1,1,2.0,60,5,5.84,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,27.351484167055922,0.06420766396471873,0.47508235623837614,0.0026144219480465866,0.45261981727457445,0.011253333411253674,0.4708740164368971,0.00075536766554898,0.3898573978509109,0.002617107952028623,0.8774123792773965,0.014303947199644682,0.4423081142438619,0.001879733544940959,0.8774123792773965,0.014303947199644682
refined_single,refined_5.8500Hz,5.8500000000000005,u,1,1,1,2.0,60,5,5.85,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.850270434321743,0.059436533319043146,0.4705683906095258,0.002675734318609049,0.4521218626855544,0.011238145595965069,0.4671086555271585,0.0007270313859301508,0.3859950959932008,0.0025751142220391825,0.8778533613816114,0.014372919902015108,0.4389090284990771,0.0018424584718268156,0.8778533613816114,0.014372919902015108
refined_single,refined_5.8600Hz,5.86,u,1,1,1,2.0,60,5,5.86,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.447429916150675,0.05435020997295633,0.4668336255815492,0.0027253367111954026,0.4517286715024637,0.011224206286799522,0.4639967811360958,0.0007097770830255454,0.38288162056767916,0.0025396098528279857,0.8783244001118689,0.01443329763257329,0.43618139526119437,0.0018101147889042714,0.8783244001118689,0.01443329763257329
refined_single,refined_5.8700Hz,5.87,u,1,1,1,2.0,60,5,5.87,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.161428014247157,0.04915934130670329,0.4637119478041159,0.0027645428913961653,0.4514955268771309,0.011207170572721458,0.46141355594369904,0.0007000875168868492,0.38029932361963115,0.002509997854412481,0.8788193837791527,0.014489728903979425,0.43393033073091447,0.0017822270709688616,0.8788193837791527,0.014489728903979425
refined_single,refined_5.8800Hz,5.880000000000001,u,1,1,1,2.0,60,5,5.88,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.006479904292814,0.04416309940384077,0.46109710053856245,0.0027940472468182707,0.4514626249491857,0.011184772160109649,0.4592800261584996,0.0006954092640432078,0.37810900161095934,0.0024863715882069773,0.8793406631553644,0.0145450349646793,0.43203186387008746,0.0017589298351876482,0.8793406631553644,0.0145450349646793
refined_single,refined_5.8900Hz,5.890000000000001,u,1,1,1,2.0,60,5,5.89,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,25.99204997900842,0.039797052143153225,0.4589307204934713,0.0028140483337977746,0.4516600531158896,0.011156258663483928,0.45755431711654193,0.0006937970730683397,0.37623252863470275,0.0024693350824515955,0.8798982831473229,0.014600716248898093,0.430417356068037,0.001740813410211941,0.8798982831473229,0.014600716248898093
refined_single,refined_5.9000Hz,5.9,u,1,1,1,2.0,60,5,5.9,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.122209572297027,0.03664403215774053,0.45719663579929926,0.0028243428222557696,0.4521117482161733,0.011122009765787956,0.45622773250752735,0.0006937159050874328,0.3746415052801108,0.0024598606652979586,0.8805096366846781,0.014657179175507308,0.42906333475450137,0.0017288326240664951,0.8805096366846781,0.014657179175507308
refined_single,refined_5.9100Hz,5.91,u,1,1,1,2.0,60,5,5.91,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.395002604759224,0.03532760466499288,0.4559188587642982,0.002824424598157535,0.4528382449460975,0.011083260422847638,0.4553236339402014,0.0006939542958316805,0.37334980437267146,0.002459155848286688,0.8811993317071266,0.014713816261021556,0.42798482759188855,0.0017242457938372211,0.8811993317071266,0.014713816261021556
refined_single,refined_5.9200Hz,5.92,u,1,1,1,2.0,60,5,5.92,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.802033344841153,0.03624329607048521,0.455161778188036,0.002813620873298174,0.4538582015873377,0.011041881699937394,0.454897881948069,0.0006936327001829976,0.37240854770110826,0.0024685181990441937,0.8819992920219228,0.014769011921505731,0.42723089132680714,0.0017285600416737283,0.8819992920219228,0.014769011921505731
refined_single,refined_5.9300Hz,5.930000000000001,u,1,1,1,2.0,60,5,5.93,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,27.328487550030616,0.039327122345925496,0.4550313999825864,0.0027913020339711404,0.4551888095477201,0.01100018648556293,0.45503992161786855,0.0006922994502253255,0.3719021877904747,0.002489160345352259,0.8829491022505517,0.014820115820002323,0.42688115316398356,0.0017434577180138928,0.8829491022505517,0.014820115820002323
refined_single,refined_5.9400Hz,5.94,u,1,1,1,2.0,60,5,5.94,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,27.953770392714688,0.04414324296307726,0.45567669479985173,0.0027572178459135273,0.45684526263554226,0.01096074583145209,0.4558737797068111,0.0006901038947804654,0.3719444583635865,0.0025219952303753863,0.8840964939971178,0.01486339870171669,0.4270422503241257,0.0017706815556757082,0.8840964939971178,0.01486339870171669
refined_single,refined_5.9500Hz,5.95,u,1,1,1,2.0,60,5,5.95,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,28.652882344521004,0.05016038175095895,0.45729077930019824,0.002712050656929355,0.45883944377794805,0.010926239060037786,0.45755878000460093,0.0006880315994889195,0.3726732276760254,0.0025673923710136403,0.885497696884682,0.014893955813440371,0.42784327628099206,0.0018118805138510829,0.885497696884682,0.014893955813440371
refined_single,refined_5.9600Hz,5.960000000000001,u,1,1,1,2.0,60,5,5.96,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,29.398469044761953,0.05691774017835408,0.46011347343306686,0.002658373100252591,0.46117769935580766,0.010899435940253588,0.4602912070791672,0.000688231870529505,0.3742436904517419,0.0026249632109734715,0.8872170975627279,0.014905413041435528,0.4294296705149364,0.0018684860008196698,0.8872170975627279,0.014905413041435528
refined_single,refined_5.9700Hz,5.970000000000001,u,1,1,1,2.0,60,5,5.97,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.6,0.48989794855663565,20.606201936133026,11.683225216097942,0.5134698101903129,0.0590813081879393,0.4693911817113615,0.01567169387993612,0.5052507351414534,0.05043328935257601,0.38590557585417684,0.013126788515141286,0.8938111312188115,0.012275727482198915,0.44053956557612717,0.011869595170099532,0.8938111312188115,0.012275727482198915
refined_single,refined_5.9800Hz,5.98,u,1,1,1,2.0,60,5,5.98,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,6.0545623045134676,0.0183610110069573,0.5721618964222169,0.0013272877600396982,0.475726018452223,0.01165968480882836,0.5541641416098094,0.002268737925199285,0.39525366574707127,0.0026273175543030567,0.8990846858094045,0.012787060808156855,0.449460868778253,0.0021231787249243986,0.8990846858094045,0.012787060808156855
refined_single,refined_5.9900Hz,5.99,u,1,1,1,2.0,60,5,5.99,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.84593219379896,0.01772520616421784,0.5611747893773833,0.001313416565611526,0.4748252317087525,0.011493510922531095,0.5450574067370588,0.00205076987064594,0.3926017817694623,0.0025783330984775386,0.8993503262324957,0.013231575609885995,0.4471221796846919,0.0020726908163127937,0.8993503262324957,0.013231575609885995
refined_single,refined_6.0000Hz,6.0,u,1,1,1,2.0,60,5,6,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.671691827068379,0.016895758357058813,0.5518294295049566,0.0013380799049934624,0.4748044346175372,0.011334477105861584,0.5374504421466433,0.0018770297666355234,0.3912419366214772,0.002562213324334123,0.9003379695873168,0.01364193930557751,0.44601419121452396,0.0020518570787011864,0.9003379695873168,0.01364193930557751
refined_single,refined_6.0100Hz,6.010000000000001,u,1,1,1,2.0,60,5,6.01,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.539410403147238,0.01586682033178361,0.5440930923608552,0.001378053752327263,0.4756515663017026,0.011180532226271411,0.5313143784003336,0.001745260439436723,0.39110248257304825,0.0025789316574501655,0.9020993524600864,0.014025855848887514,0.4460785256903804,0.00206062201784226,0.9020993524600864,0.014025855848887514
refined_single,refined_6.0200Hz,6.0200000000000005,u,1,1,1,2.0,60,5,6.02,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.454034938511769,0.0147097722280599,0.5378973257838255,0.0014178953883295386,0.477369381083835,0.011028948600627848,0.526594041826774,0.0016530482590006307,0.39212454020462006,0.002628996670335087,0.9047194362595705,0.01439323706704013,0.44727177071949775,0.0020997128157583074,0.9047194362595705,0.01439323706704013
refined_single,refined_6.0300Hz,6.03,u,1,1,1,2.0,60,5,6.03,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.415628406511263,0.013592312865415927,0.5331585921806122,0.0014491347629781398,0.4799805930563504,0.010876444467500631,0.5232257080757196,0.0015982721288110564,0.3942717479712443,0.002713783864134446,0.9083221822043658,0.01475559391692577,0.4495748018996217,0.0021707935756425487,0.9083221822043658,0.01475559391692577
refined_single,refined_6.0400Hz,6.04,u,1,1,1,2.0,60,5,6.04,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.419003614832646,0.012680709922234556,0.5297920401056012,0.0014685189877990368,0.48352912107140184,0.010719306488212977,0.5211485386510806,0.0015794331855886893,0.39753139875108023,0.0028357039072518016,0.9130720890820919,0.015125578138796449,0.4529939634851877,0.0022764934177852397,0.9130720890820919,0.015125578138796449
refined_single,refined_6.0500Hz,6.050000000000001,u,1,1,1,2.0,60,5,6.05,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,5.455977480690488,0.012036498426452156,0.5277186949615539,0.0014769458154666125,0.48807776576767675,0.010553536645781241,0.5203099979912646,0.001595839722471362,0.4019086615163136,0.002998205789222962,0.9191713059818172,0.01551658327975678,0.45755560220139674,0.0024203203599418724,0.9191713059818172,0.01551658327975678
refined_single,refined_6.0600Hz,6.0600000000000005,u,1,1,1,2.0,60,5,6.06,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.8,0.39999999999999997,25.899625149505262,10.187798635699265,0.5120245586407236,0.0069041794252227015,0.4637044617424865,0.021844891458878565,0.5029929519650114,0.009286630200403361,0.3824805154115475,0.012959549879996968,0.9008959273550504,0.013701328632645686,0.43825662152637096,0.012602713032858578,0.9008959273550504,0.013701328632645686
refined_single,refined_6.0700Hz,6.07,u,1,1,1,2.0,60,5,6.07,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,30.16049109487298,0.1455180865317972,0.4997982782307614,0.0015182293396339315,0.4549804378918466,0.010750138090074997,0.49142439797316123,0.001302163984102249,0.3715515235125501,0.002076510542005014,0.8929686681436421,0.013643291418207037,0.4276505068278956,0.0014529898897305137,0.8929686681436421,0.013643291418207037
refined_single,refined_6.0800Hz,6.08,u,1,1,1,2.0,60,5,6.08,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,29.270021637512627,0.13599785854506827,0.4928158570376281,0.0016941235263518957,0.45461367690044235,0.010555221636015223,0.4856754067376463,0.001204057534918433,0.3678570598289162,0.002020430437677993,0.8916141870286125,0.013889218849718324,0.42420751935115464,0.0013880972778578184,0.8916141870286125,0.013889218849718324
