sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_1,4,y,787.381843528219,862.11154633791,825.4112367949049,793.3792809725946,851.6820718149678,829.4033419023136,0.0,0.0,14.948266506195068,False
sample_1,5,x,1571.3259789221147,1784.5262396254523,1696.4998465437493,1588.891987933507,1817.1488889390553,1755.9275196969045,0.0,32.622649313603006,19.45276665687561,False
sample_1,5,y,774.6346241874942,941.5158173869419,848.7298812746084,769.6899074581173,933.8688597449908,844.1959214132976,0.0,4.944716729376864,17.150466680526733,False
sample_1,6,x,2104.1131051430575,2311.614254091011,2219.8658187563456,2129.637008219866,2306.516907145119,2266.651077595441,0.0,0.0,14.948266506195068,False
sample_1,6,y,750.9850501443076,929.5512178917799,837.2543022927931,757.657853215728,928.6443722240277,818.6537483753945,0.0,0.0,14.948266506195068,False
sample_1,7,x,2702.2789551535893,2881.3077625570777,2793.755194914739,2723.668684856934,2867.4891502697556,2832.7542588406263,0.0,0.0,14.948266506195068,False
sample_1,7,y,790.3804991539762,858.9346498072639,823.3022054861808,796.99746100111,860.3184400584207,814.1902147585985,0.0,1.3837902511568245,21.78843331336975,False
sample_1,8,x,1013.3879338284476,1193.66732439108,1118.3198570209668,1030.728962577366,1209.6977840641207,1175.2210914959865,0.0,16.030459673040696,19.45276665687561,False
sample_1,8,y,1329.6887888239385,1402.8481237038282,1370.9683729656876,1340.382427337703,1395.2767295597482,1366.8229496957752,0.0,0.0,14.948266506195068,False
sample_1,9,x,1582.6992489416905,1763.5232722335368,1685.7201766287942,1601.3188655155227,1770.5267919429573,1737.6305926496602,0.0,7.003519709420516,19.45276665687561,False
sample_1,9,y,1302.308145679213,1460.5932394446584,1372.3565566023435,1301.4386618589745,1454.9267086300001,1363.1240227130056,0.0,0.8694838202386563,17.150466680526733,False
sample_1,10,x,2129.0238998871678,2310.5553742339735,2225.6139072979768,2149.897257357889,2294.5047377918663,2271.50166190325,0.0,0.0,14.948266506195068,False
sample_1,10,y,1297.6206626416522,1466.8649609683964,1373.6051662803573,1302.9055683910933,1462.9718191290426,1349.186627147948,0.0,0.0,14.948266506195068,False
sample_1,11,x,2724.3581526799644,2900.7654291321237,2813.966624095019,2737.949037253393,2886.1438999298875,2854.7462225134104,0.0,0.0,14.948266506195068,False
sample_1,11,y,1340.5251534410997,1404.3043553255714,1371.3387195897692,1345.3789054605716,1399.1173378848835,1356.36821451483,0.0,0.0,14.948266506195068,False
sample_1,12,x,1011.6916285271541,1013.7988694875529,1012.8313474131613,1011.8833990079829,1017.9684836351502,1017.7613156014195,3.9624461138665765,4.169614147597258,23.39003324508667,True
sample_1,12,y,2022.5706206557395,2023.9523852379837,2023.3013728077922,2017.2917431637368,2023.8868257541649,2017.3240434577233,-5.246577198016212,5.278877492002721,24.858166694641113,True
sample_1,13,x,1651.494040982661,1733.036384534591,1690.8526495630572,1657.0172509738452,1719.9645335905886,1705.551118357298,0.0,0.0,14.948266506195068,False
sample_1,13,y,1858.4422944205553,2012.7377595586545,1929.4503242516696,1866.4620247448747,2012.8143515898876,1909.6246758859118,0.0,0.07659203123307634,21.42139983177185,False
sample_1,14,x,2214.486212506218,2284.980019079575,2250.4068605457933,2214.817616187848,2274.7293694538916,2260.1560968197973,0.0,0.0,14.948266506195068,False
sample_1,14,y,1867.6813919930198,2025.5335543056112,1938.3244720928224,1873.4888391249401,2025.702141900937,1911.4872831529851,0.0,0.16858759532578915,21.42139983177185,False
