sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_1,2,1,5,1,5,7,"[5, 6, 7]",2,3,ok,0.01,447,597,0.006711409395973154,0.3357388051534346,0.05262171737290397,0.4478393221481015,0.1383329610385769,0.9373672991429904,0.006348439710948905,0.9512289364695476,0.012475288700637082,0.418052102747556,0.05619362316590257,0.5281263095683439,0.1410017455672303,0.11007420682078795
sample_1,3,1,5,1,5,8,"[5, 6, 7, 8]",3,4,ok,0.01,447,596,0.008948545861297539,0.33442200057588933,0.05191747188908258,0.4475074985715174,0.1377164175461751,0.9245913269370087,0.0037465021947664283,0.9395512905771302,0.005797403488614687,0.4151100218488317,0.054994444680033346,0.5255275629773328,0.13863559085137306,0.1104175411285011
sample_1,4,1,5,1,5,9,"[5, 6, 7, 8, 9]",4,5,ok,0.01,446,595,0.011210762331838564,0.33172638294020473,0.04990792488804539,0.4460626000954516,0.13142349822647037,0.9199835756162866,0.002967177175444357,0.9378516250583273,0.009790686847519369,0.4119310684424155,0.05278551046425538,0.5236525677572621,0.13237759256461418,0.1117214993148466
sample_1,5,1,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,6,ok,0.01,445,594,0.01348314606741573,0.32176048402907487,0.047227621937738294,0.4348833857345193,0.12463248081938286,0.9194630806109243,0.003456548281372529,0.9412537507349967,0.01216246185201451,0.4031561787748278,0.05069171226373052,0.5149799434914238,0.1276703607098349,0.11182376471659605
sample_1,6,1,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,7,ok,0.01,444,593,0.015765765765765764,0.32081421803327226,0.04647829848559791,0.4349178774115905,0.12236258485619057,0.8979757687097507,0.009889356268323183,0.9221347999672639,0.035602460141495165,0.3992384301416284,0.0484972233207325,0.510787170099799,0.12187501262065471,0.1115487399581706
sample_1,7,1,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,8,ok,0.01,444,592,0.018018018018018018,0.3112182697105018,0.04409456517938404,0.4185177427207343,0.11482530540826713,0.8942653498875073,0.01236798246356599,0.9210979607687789,0.045288344813637006,0.3902498900805087,0.046151407308757914,0.4967888924803295,0.11503608424562403,0.10653900239982078
sample_1,8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,9,ok,0.01,443,591,0.020316027088036117,0.30976661023158936,0.04413163537179425,0.4167724326215297,0.11490673460010893,0.8841509737536752,0.011724675805130163,0.9097870513783644,0.04105484675986622,0.38757315126518227,0.04575166404399515,0.493524553806867,0.1139742537171933,0.10595140254168472
sample_1,9,1,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",9,10,ok,0.01,442,590,0.02262443438914027,0.30930763187460797,0.044174800661518784,0.4178013941530004,0.11610683086975342,0.873957439187218,0.017692191430377268,0.904795529102691,0.06054967899242812,0.3855793377320468,0.04489700691082293,0.49248499770080034,0.11253607726434572,0.10690565996875356
sample_1,10,1,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10,11,ok,0.01,441,589,0.024943310657596373,0.3079035684361049,0.04388810083751595,0.41863618432959204,0.1180853098713322,0.8713204807717891,0.0177197446109414,0.9057226675202434,0.059102986066763445,0.3838342124773316,0.044559645846363,0.49328224112133534,0.11411661034310654,0.10944802864400371
sample_1,0,2,5,1,5,5,[5],0,2,ok,0.01,449,599,0.004454342984409799,0.36430020105565375,0.05497851322476434,0.4846730924994972,0.1403348742964933,0.9531306576349869,0.012073328973447268,0.9645025612650326,0.03141167202358687,0.445088266888864,0.05899107550905824,0.5617730547883654,0.14577553817473227,0.11668478789950137
sample_1,1,2,5,1,5,6,"[5, 6]",1,5,ok,1.0,448,598,0.011160714285714286,0.3560806092701652,0.05703442343469576,0.4802464549643164,0.142944061832899,0.9406680908585993,0.008171830171501356,0.9542564085446512,0.0206193956565626,0.4361721251322172,0.06010018214921752,0.5558631452654487,0.14588493106252343,0.11969102013323146
sample_1,2,2,5,1,5,7,"[5, 6, 7]",2,9,ok,0.01,447,597,0.020134228187919462,0.3326472714125256,0.052901936237060035,0.45178456979898096,0.1410613400920448,0.925657291923172,0.009966019304692023,0.9593708322514793,0.019057413752984084,0.4138499089496067,0.05694998339792549,0.5331214440925603,0.14512626614632299,0.11927153514295363
sample_1,3,2,5,1,5,8,"[5, 6, 7, 8]",3,14,ok,0.01,447,596,0.03131991051454139,0.3285920214707385,0.052183276757406784,0.457714460293025,0.14678263759181617,0.9063724793524031,0.011920254059516073,0.9606830940029412,0.03150370431636922,0.4077320476717455,0.056415923540875254,0.5383968628194671,0.15125700012422494,0.1306648151477216
sample_1,4,2,5,1,5,9,"[5, 6, 7, 8, 9]",4,20,ok,0.01,446,595,0.04484304932735426,0.32303009195209514,0.04933957587922813,0.46114619050682154,0.14522291061357842,0.8937013051537306,0.008630266292117576,0.9619871698856297,0.020333708991355764,0.40098876550197926,0.05340447177696933,0.5408391047501157,0.14808490047459275,0.1398503392481364
sample_1,5,2,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,27,ok,1.0,445,594,0.060674157303370786,0.32659209250142657,0.048641276444662665,0.4583273388582414,0.12690397715425766,0.9006640705208708,0.007963894561631329,0.9490637559960433,0.013368461816563478,0.4048666647614143,0.05276263141421659,0.5365303106919039,0.13216571265628835,0.13166364593048963
sample_1,6,2,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,35,ok,1.0,444,593,0.07882882882882883,0.3257619050321297,0.04840787683097874,0.46046366743025235,0.1251002985523779,0.881326362907568,0.006267295714016552,0.9360602465316208,0.014249104230185888,0.4014044068257362,0.051609344229153045,0.5357501022236766,0.12856529165571745,0.1343456953979404
sample_1,7,2,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,44,ok,0.01,444,592,0.0990990990990991,0.29953874381552426,0.041205682349982974,0.43958552191275,0.12092611041288034,0.8419400622430334,0.004677835150881465,0.9682855509237394,0.017322333203470652,0.3733219151686852,0.04520714000515959,0.5238359794935012,0.12726519182504958,0.15051406432481607
sample_1,8,2,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,54,ok,1.0,443,591,0.12189616252821671,0.3124734433249652,0.04533740493886725,0.4442678160302259,0.11708070500964,0.8535055631616103,0.007067034245358118,0.9299376834173678,0.008981973340054794,0.385926641654633,0.048301474362223186,0.5212017529509373,0.12125699393711963,0.13527511129630432
