Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,status,number_of_terms,number_of_terms_std_across_samples,selected_alpha,selected_alpha_std_across_samples,min_cv_train_rows,min_cv_train_rows_std_across_samples,window_rows,window_rows_std_across_samples,terms_per_min_cv_train_row,terms_per_min_cv_train_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_val_gap_2d,train_val_gap_2d_std_across_samples,val_nmse_2d_cv_std_mean,num_samples,num_ok_samples
1,3,5,1,5,6,"[5, 6]",ok,9.0,0.0,1.0,0.0,448.0,0.0,598.0,0.0,0.020089285714285716,0.0,0.3553998044416179,0.006019460874681884,0.48676150823404934,0.005615233705815874,0.9378246521418913,0.001735762380979705,0.9529949841118561,0.002673758644128119,0.4353719050266255,0.006042423403184026,0.5592627390974718,0.004896525984150691,0.1238908340708463,0.0026332761861982672,0.1619286141196629,5,5
2,3,5,1,5,7,"[5, 6, 7]",ok,19.0,0.0,1.0,0.0,447.0,0.0,597.0,0.0,0.042505592841163314,0.0,0.33107797737529043,0.004820318432542031,0.45652364057980394,0.004438576226414226,0.9251719878833293,0.0016110033553518874,0.9452015955687845,0.0030287654760880784,0.41263276891056505,0.004928631395414559,0.533332974419587,0.0038086975228505252,0.12070020550902201,0.002745836486289337,0.14739664111454057,5,5
3,3,5,1,5,8,"[5, 6, 7, 8]",ok,34.0,0.0,1.0,0.0,447.0,0.0,596.0,0.0,0.07606263982102908,0.0,0.32745457074804696,0.005226047798042118,0.4661523290837393,0.005027619136784662,0.9058837677920952,0.002002848807416331,0.9488411322012908,0.0033347446386311603,0.40677477517077393,0.005352798544464097,0.5411836703032632,0.004528632716573988,0.1344088951324893,0.002617620467003626,0.15066651166464212,5,5
4,3,5,1,5,9,"[5, 6, 7, 8, 9]",ok,55.0,0.0,1.0,0.0,446.0,0.0,595.0,0.0,0.12331838565022421,0.0,0.3223330288608209,0.005023364598014269,0.4732072527581739,0.005574076982580327,0.8922789798288392,0.0013026753326585352,0.9495042960231114,0.0045556650321156794,0.4002844063443801,0.004979262353512104,0.546666623580221,0.00487028737272776,0.14638221723584094,0.0022370557027221395,0.14580702054766548,5,5
5,3,5,1,5,10,"[5, 6, 7, 8, 9, 10]",ok,83.0,0.0,1.0,0.0,445.0,0.0,594.0,0.0,0.18651685393258427,0.0,0.3097677809807162,0.004792887583195043,0.4678232560185783,0.0051387320677137435,0.8825685468468623,0.0010739939223735257,0.9831362912251546,0.0037407563432792657,0.38806419485852567,0.004847242035183789,0.5475335011173831,0.004477788513264953,0.15946930625885747,0.002743906666385475,0.13734848518779966,5,5
6,3,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",ok,119.0,0.0,1.0,0.0,444.0,0.0,593.0,0.0,0.268018018018018,0.0,0.30525851364035367,0.004577900954292137,0.4787481831468533,0.005533990221175121,0.848597068514297,0.0018814195453304657,0.9707675770142983,0.005297361169465533,0.37931482615229084,0.004492519808903218,0.5533999295562118,0.004724864583290942,0.17408510340392083,0.0021669168470514165,0.13492479342657365,5,5
7,3,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",ok,164.0,0.0,1.0,0.0,444.0,0.0,592.0,0.0,0.36936936936936937,0.0,0.2893311621743634,0.0037499311714232174,0.4672609050906666,0.004499542777932958,0.8279749271560426,0.002439220204285443,0.973942561266955,0.0056950910702339135,0.36266096156809996,0.003715659744557376,0.5440561598127086,0.0038462938472064567,0.18139519824460867,0.0022761343020368647,0.13034495334341373,5,5
8,3,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",ok,219.0,0.0,1.0,0.0,443.0,0.0,591.0,0.0,0.49435665914221216,0.0,0.2832414629126361,0.003968436025071436,0.4876983006495908,0.005442961121481027,0.8009074359038879,0.0022346556649763395,0.9898742752262188,0.004746620195857784,0.3536728469851025,0.00389867309384329,0.562754006475318,0.004652485624127187,0.2090811594902157,0.0027079197218934014,0.1279130432713077,5,5
9,3,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",too_many_terms,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,0
10,3,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",too_many_terms,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,0
