H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,condition_warning,selected_alpha,selected_alpha_std_across_samples,min_training_rows_per_fold,min_training_rows_per_fold_std_across_samples,terms_per_training_row,terms_per_training_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_validation_gap_2d,train_validation_gap_2d_std_across_samples
11,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",90,5,0.0,,1.0,0.0,440.0,0.0,0.20454545454545453,2.7755575615628914e-17,0.3053519348949939,0.004141848128320726,0.45308055461606245,0.005797302017572403,0.8094293957451715,0.0017158757498350948,0.9352594010550076,0.00692485704609829,0.3734466248934377,0.00394891430729969,0.5265744468840865,0.004210096032672165,0.15312782199064867,0.002489305783262074
12,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",104,5,0.0,,1.0,0.0,439.0,0.0,0.23690205011389526,2.7755575615628914e-17,0.2963099957646526,0.0036650985390217915,0.4546611207576442,0.005802934632731436,0.7921664700044531,0.001937962338670459,0.9346158036361917,0.008630351258735526,0.3631756287514493,0.0034516876953070066,0.5270966991338711,0.003941336467595564,0.1639210703824218,0.0024558046148284553
13,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",119,5,0.0,,1.0,0.0,438.0,0.0,0.271689497716895,0.0,0.2901993950571087,0.003666994041445042,0.46998515601916024,0.0055139896430416455,0.785037855986059,0.001965561693040783,0.9367597808295118,0.008890342440273738,0.35696760870267497,0.003543121132725018,0.5404447853215375,0.003766321338154583,0.18347717661886254,0.002816018861793039
14,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",135,5,0.0,,1.0,0.0,438.0,0.0,0.3082191780821918,0.0,0.28483645466414337,0.003724399782774405,0.489765224586925,0.00678996783377284,0.7560829280124668,0.0022517687145258113,0.9229072270206162,0.010966955513496537,0.34827375337353034,0.0034255515968855243,0.5537759321465356,0.004441405946599978,0.20550217877300536,0.002915401946274359
15,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",152,5,0.0,,1.0,0.0,437.0,0.0,0.34782608695652173,0.0,0.28126624991882154,0.003885360380609103,0.5021357088216369,0.006754178520996256,0.7427679144111143,0.0023521004552229108,0.9290547446338027,0.009649530930457496,0.34332574052115994,0.003512391475833233,0.5654535931569112,0.004663052119189848,0.2221278526357513,0.0030476206087663945
16,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",170,5,0.0,,1.0,0.0,436.0,0.0,0.38990825688073394,0.0,0.27618901248682814,0.0037553321927867003,0.510029714280912,0.006428578166747244,0.7120341753865006,0.0009558155549245329,0.9033649520433924,0.009554975325405307,0.33467324547146715,0.0035460851559507124,0.5669834003926837,0.004397135764002314,0.2323101549212166,0.003148633823297268
17,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",189,5,0.0,,1.0,0.0,435.0,0.0,0.4344827586206897,5.551115123125783e-17,0.2661363873849985,0.0034800403647497927,0.5112555212176115,0.0055028636736971165,0.6850235895382445,0.0012791829479968512,0.8862338258162566,0.009927299086150067,0.3223676516389296,0.0031586497889284216,0.5651024288492839,0.0037599482819204283,0.24273477721035422,0.0036247369533149686
18,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",209,5,0.0,,1.0,0.0,435.0,0.0,0.4804597701149425,0.0,0.2599085145014383,0.0034271974433389162,0.5395122352264285,0.005835831759863465,0.6652006067659594,0.0008231162680748582,0.8842675954787321,0.008140348675357442,0.31433769193427247,0.003323687959541572,0.5881817161989646,0.004326928895901253,0.2738440242646922,0.004030116154785828
19,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",230,5,0.0,,1.0,0.0,434.0,0.0,0.5299539170506913,0.0,0.25395084908427207,0.0033347054862277463,0.5710540612204238,0.0059830791271663995,0.6366989114846076,0.000803273241952998,0.887929616773371,0.007919637760999508,0.3052097074193874,0.00313295560786906,0.614178965499596,0.004535966424516744,0.30896925808020875,0.004911977647413347
20,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",252,5,0.0,,1.0,0.0,433.0,0.0,0.581986143187067,0.0,0.2437812758045072,0.0029892346519394594,0.588877865318618,0.006642261308386952,0.6099268345694611,0.0014462028309884265,0.88886306085139,0.007836256973098551,0.2927236990160843,0.0029839136094301144,0.6296168867954794,0.004934419190787755,0.33689318777939503,0.006123123446123118
