frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
refined_single,refined_5.7100Hz,5.71,u,1,1,1,3.0,90,5,5.71,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.68238906860351,0.495758023926278,0.4540581393714763,0.002069207409741851,0.6460643262496422,0.008499316190926426,0.46137560857402404,0.0019409804775669488,0.36798417422971036,0.005487890101783269,0.6486655666082548,0.056775844567793644,0.3767495223025942,0.0038683525547995867,0.3767495223025942,0.0038683525547995867
refined_single,refined_5.7200Hz,5.720000000000001,u,1,1,1,3.0,90,5,5.72,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.882835388183594,0.5001174873009847,0.4566190063297757,0.0019773677192975367,0.6485662844662613,0.008268059132345403,0.46393422882322194,0.0018602478571274647,0.3582848518382754,0.0053730745965330645,0.6401410275907418,0.055501001997542605,0.3670854771766051,0.003722129368013155,0.3670854771766051,0.003722129368013155
refined_single,refined_5.7300Hz,5.73,u,1,1,1,3.0,90,5,5.73,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.8,0.39999999999999997,41.15576934814453,3.705735363967423,0.4589308246013021,0.0024867926929440904,0.6523798092115836,0.0076759573894118385,0.46630557597095673,0.0025214307785657577,0.34744518121577606,0.009413124087618201,0.6285700971714804,0.04696879418069491,0.35621946888183614,0.007531687790307633,0.35621946888183614,0.007531687790307633
refined_single,refined_5.7400Hz,5.74,u,1,1,1,3.0,90,5,5.74,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,34.57195892333984,0.22350183953858313,0.463256634891243,0.0016947910424637198,0.6614048651097497,0.00834736818600887,0.47080837865354147,0.001572774654638658,0.33198747582802635,0.004888491791727758,0.6062029908897733,0.055493407811713705,0.3405509543424474,0.003075177488301299,0.3405509543424474,0.003075177488301299
refined_single,refined_5.7500Hz,5.75,u,1,1,1,3.0,90,5,5.75,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,35.78134689331055,0.2429017674141532,0.46441960791334,0.0016165696964067493,0.6640743278653047,0.008280056489594956,0.4720287845534677,0.0014880045949589743,0.32680227527669736,0.0047259263173960574,0.6013762744268607,0.056239345880846434,0.3353773238458833,0.002896132545895894,0.3353773238458833,0.002896132545895894
refined_single,refined_5.7600Hz,5.760000000000001,u,1,1,1,3.0,90,5,5.76,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,36.92510223388672,0.26543030404332607,0.4648716467792348,0.0015495995247186143,0.6659334077260385,0.00825405662002742,0.4725344589045579,0.001413331736625671,0.323145234538233,0.004606440126499135,0.5967408757627929,0.05716518697920759,0.3316905315251731,0.002754514209208138,0.3316905315251731,0.002754514209208138
refined_single,refined_5.7700Hz,5.7700000000000005,u,1,1,1,3.0,90,5,5.77,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,37.94461517333984,0.296420238775794,0.4644956605789089,0.001494406644625055,0.6667299621299707,0.008262820969687017,0.47220315223780035,0.0013512937098691222,0.32074894113218305,0.004504515791246824,0.5918646976894533,0.05813106062722939,0.3292179192231402,0.0026300196968454454,0.3292179192231402,0.0026300196968454454
refined_single,refined_5.7800Hz,5.78,u,1,1,1,3.0,90,5,5.78,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,38.86268920898438,0.40873513699472275,0.4632239136940345,0.0014458762676299824,0.6664351585966688,0.008291387708280978,0.47096862894364244,0.0012970088448262316,0.31924396247430087,0.004377302223864589,0.5867697735565913,0.058987977425852614,0.32760204799915243,0.0024903250325688862,0.32760204799915243,0.0024903250325688862
refined_single,refined_5.7900Hz,5.79,u,1,1,1,3.0,90,5,5.79,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,40.45545425415039,0.6198724509531562,0.4610120604740636,0.0013865299822228125,0.6652535580468797,0.0083042817088971,0.4687961170888217,0.00123101014128012,0.31864832182859465,0.004137709283673268,0.5824251108086276,0.05950292055790063,0.3268901742042718,0.002280733145940133,0.3268901742042718,0.002280733145940133
refined_single,refined_5.8000Hz,5.800000000000001,u,1,1,1,3.0,90,5,5.8,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.0,0.0,42.465736389160156,0.611178597602452,0.4574219826376006,0.0012959253047269536,0.6632113614107916,0.008248839705750884,0.46526538119590655,0.0011283897266974677,0.319759040820117,0.0036469634133270944,0.5806123316907545,0.05916688950608141,0.32790929779895484,0.0019481237456157772,0.32790929779895484,0.0019481237456157772
refined_single,refined_5.8100Hz,5.8100000000000005,u,1,1,1,3.0,90,5,5.81,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.8,0.39999999999999997,42.95897521972656,1.3210999434777726,0.4528173787406201,0.0014812402436195735,0.6600969287593041,0.00788427899641471,0.4607171487970748,0.0014465429605797927,0.3204501010176867,0.005995065329542559,0.5793003838720857,0.05671724092874582,0.32853817327916407,0.003886075197919716,0.32853817327916407,0.003886075197919716
refined_single,refined_5.8200Hz,5.82,u,1,1,1,3.0,90,5,5.82,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.2,0.39999999999999997,40.752925109863284,1.7858355471580118,0.449880047493785,0.0018789203438616157,0.657685058135647,0.007606583898394748,0.4578002959536792,0.0017264812371237694,0.318005961977392,0.004228621591314322,0.5715903160223845,0.05866344774261121,0.32593101201141783,0.0021514067321834304,0.32593101201141783,0.0021514067321834304
refined_single,refined_5.8300Hz,5.83,u,1,1,1,3.0,90,5,5.83,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,39.6985580444336,0.3288372599340775,0.44561214425758433,0.001271921519652651,0.6553633558928595,0.00838092657276728,0.4536066692690975,0.001104866347374178,0.31868146177946394,0.0036424650703573277,0.5667757918757426,0.05973803830306128,0.3264369027825132,0.0018763075331251907,0.3264369027825132,0.0018763075331251907
refined_single,refined_5.8400Hz,5.840000000000001,u,1,1,1,3.0,90,5,5.84,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,39.586001586914065,0.3281296037736994,0.4405654092332387,0.0012445608727250047,0.6520347926502275,0.008297103540505398,0.44862575232481017,0.001075079571037322,0.3218125166208683,0.0034998577015249803,0.5657099075408688,0.05995551978196908,0.3294377239012044,0.001759198998027536,0.3294377239012044,0.001759198998027536
refined_single,refined_5.8500Hz,5.8500000000000005,u,1,1,1,3.0,90,5,5.85,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,39.57273178100586,0.33032899104332386,0.43594267591141234,0.0012321634390000935,0.6489415235957016,0.00820565789313077,0.4440616258632331,0.0010599168027895071,0.3261365024936029,0.0034452239684827123,0.5660105509542867,0.0607985044762963,0.3336374559192265,0.0016808433961724093,0.3336374559192265,0.0016808433961724093
refined_single,refined_5.8600Hz,5.86,u,1,1,1,3.0,90,5,5.86,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,40.05959701538086,0.35595684573969305,0.4319723336200815,0.0012289779196034242,0.6462947487226067,0.00813130992430354,0.44014199366961293,0.0010535754922302754,0.33131960066426586,0.003455888134982989,0.567665313155391,0.06220818426238554,0.3387121957440694,0.0016194503347170264,0.3387121957440694,0.0016194503347170264
refined_single,refined_5.8700Hz,5.87,u,1,1,1,3.0,90,5,5.87,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,41.17780075073242,0.38864420037639497,0.4285695160263934,0.0012273787280389422,0.6440806295042346,0.008085212456973228,0.4367846936673295,0.0010483710132158824,0.3369720039942786,0.0034819876074692886,0.5704463291646232,0.06392861232623144,0.3442769028428001,0.0015485488268624189,0.3442769028428001,0.0015485488268624189
refined_single,refined_5.8800Hz,5.880000000000001,u,1,1,1,3.0,90,5,5.88,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,42.51010971069336,0.41331352532246496,0.42550567628854175,0.001222609926002901,0.6421395006614224,0.008066227786959007,0.4337638152084722,0.0010397518950995273,0.3426749567526489,0.0034780433289196785,0.5738974479588196,0.06564583731474735,0.34991135032104564,0.001451408570317821,0.34991135032104564,0.001451408570317821
refined_single,refined_5.8900Hz,5.890000000000001,u,1,1,1,3.0,90,5,5.89,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,43.81353073120117,0.43309836794678,0.4225855960355811,0.0012147560912910299,0.6402690029024718,0.00806592195200498,0.43088387880841444,0.0010283379401592626,0.3480456956048631,0.0034237629984485095,0.5774245910699505,0.06708854262653775,0.35522596084846514,0.0013313013450632978,0.35522596084846514,0.0013313013450632978
