topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features,number_candidate_features,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2600Hz,6.260000000000001,u,1,1,3.0,90,6.26,0.2 0.5 1 2 5,2,10,65,65,21,45.835121154785156,0.42624171235195785,0.6524240415392858,0.4346309010232154,0.391345623125762,0.6121590634814026,0.3980244820962821,0.3980244820962821
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2700Hz,6.2700000000000005,u,1,1,3.0,90,6.27,0.2 0.5 1 2 5,2,10,65,65,20,40.37376403808594,0.42446925250596923,0.6537330270056337,0.4329727331566147,0.39430563561291787,0.6131475290846342,0.4009248619651955,0.4009248619651955
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2800Hz,6.28,u,1,1,3.0,90,6.28,0.2 0.5 1 2 5,2,10,65,65,20,40.71516418457031,0.42320177723065705,0.6517151928637879,0.4316774267853671,0.3967855777167657,0.6172066803671892,0.40345256980002664,0.40345256980002664
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2900Hz,6.29,u,1,1,3.0,90,6.29,0.2 0.5 1 2 5,2,10,65,65,20,40.976417541503906,0.42248601016255904,0.6501775030240022,0.4309311742888555,0.3991513964483726,0.620595363269451,0.4058493267097211,0.4058493267097211
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3000Hz,6.300000000000001,u,1,1,3.0,90,6.3,0.2 0.5 1 2 5,2,10,65,65,20,41.0028190612793,0.4222851020278607,0.6491393462117083,0.4306992122820603,0.4015807095556235,0.6234188379622269,0.40829056187043483,0.40829056187043483
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3100Hz,6.3100000000000005,u,1,1,3.0,90,6.31,0.2 0.5 1 2 5,2,10,65,65,20,40.7953987121582,0.42254802918983264,0.6485690852887396,0.4309312361808627,0.4041246965924595,0.6257324863968629,0.41082758194440344,0.41082758194440344
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3200Hz,6.32,u,1,1,3.0,90,6.32,0.2 0.5 1 2 5,2,10,65,65,20,40.390960693359375,0.4232535572070708,0.6484408209272569,0.43160583852144496,0.4066715971469639,0.6275898629230799,0.41335362673154913,0.41335362673154913
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3300Hz,6.33,u,1,1,3.0,90,6.33,0.2 0.5 1 2 5,2,10,65,65,20,39.843807220458984,0.4244164591910156,0.6487610335072362,0.4327374848346813,0.4089857053377214,0.6290320367823058,0.4156413618608554,0.4156413618608554
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3400Hz,6.340000000000001,u,1,1,3.0,90,6.34,0.2 0.5 1 2 5,2,10,65,65,20,39.250465393066406,0.42606344470345675,0.6495607652309678,0.43435304538164654,0.410790990178842,0.6300793468513365,0.4174237205313685,0.4174237205313685
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3500Hz,6.3500000000000005,u,1,1,3.0,90,6.35,0.2 0.5 1 2 5,2,10,65,65,20,39.24705505371094,0.4281994908689221,0.6508696000205427,0.43645840996235574,0.41185105560168905,0.6307394402103379,0.4184716881534549,0.4184716881534549
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.3600Hz,6.36,u,1,1,3.0,90,6.36,0.2 0.5 1 2 5,2,10,65,65,20,40.2435188293457,0.4307775287308359,0.6526876439578536,0.4390082593603636,0.412016313022361,0.6310137095896416,0.4186402428167981,0.4186402428167981
