topology,amplitude,sample,mode_index,raw_R2_train,raw_R2_validation,raw_R2_trainval,capacity_validation,capacity_used,capacity_target_window,c_mech_x,c_mech_y,c_mech_2d,contribution_x,contribution_y,contribution_2d,dominant_raw_feature_name,dominant_product_degree,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_0,11,0.16210338532743196,-0.009508806149193472,0.06782304804853978,0.0,0.0,validation,0.0012710639275610447,0.012845580466091633,0.0034652857575565577,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,-0.41255372762680054
topology_17_prestress,amp=1,sample_0,12,0.11117052545550798,-0.038170184395244444,0.014453579647559334,0.0,0.0,validation,0.0023763871286064386,0.005005586892366409,0.002874813973903656,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,0.2*5.0,sin*sin,0.34179624915122986
topology_17_prestress,amp=1,sample_0,13,0.13300153752113175,-0.21445129374630123,-0.0620536166978205,0.0,0.0,validation,0.0011178507702425122,0.0001748479116940871,0.0009390824125148356,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,5.82*5.82,0.2*0.2,sin*sin,0.4052264094352722
topology_17_prestress,amp=1,sample_0,14,0.10125986450883906,0.020084571556871267,0.04065344829336204,0.020084571556871267,0.020084571556871267,validation,0.0005040421965532005,0.00536075234413147,0.0014247458893805742,1.012347092910204e-05,0.00010766841296572238,2.86154099740088e-05,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,cos*cos,0.4033460319042206
topology_17_prestress,amp=1,sample_0,15,0.10197916143821761,-0.08671062439728283,-0.011000304547007511,0.0,0.0,validation,0.0006008383352309465,0.001236742828041315,0.0007213889621198177,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,0.2*5.0,sin*sin,0.32816144824028015
topology_17_prestress,amp=1,sample_0,16,0.1477477000122146,-0.14304887638330266,0.0002213078199350127,0.0,0.0,validation,0.0007240032427944243,0.0002630008675623685,0.0006366093875840306,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,cos*cos,0.3666146993637085
topology_17_prestress,amp=1,sample_0,17,0.09705252506667339,-0.002012371691596515,0.02836673780939325,0.0,0.0,validation,1.879199317045277e-06,0.00021375853975769132,4.2045910959132016e-05,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,-0.30789726972579956
topology_17_prestress,amp=1,sample_0,18,0.30244032227922046,0.17623582752569367,0.22037174929035597,0.17623582752569367,0.17623582752569367,validation,0.04054073989391327,0.00011040598474210128,0.03287621960043907,0.0071447305381298065,1.945748954312876e-05,0.005793967749923468,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,0.5421877503395081
topology_17_prestress,amp=1,sample_0,19,0.19965048313083045,0.011128286744031324,0.07464896587427161,0.011128286744031324,0.011128286744031324,validation,0.050504785031080246,0.03786931559443474,0.04810943454504013,0.0005620317533612251,0.00042142061283811927,0.0005353756132535636,u_f=5.8200Hz_Td=0.200s_cos,1,5.82,0.2,cos,-0.61346036195755
topology_17_prestress,amp=1,sample_2,0,0.2274991369489372,-0.02956480979188636,0.09946852884029123,0.0,0.0,validation,0.06876686960458755,0.05711539834737778,0.06660492718219757,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,5.82*5.82,0.5*1.0,cos*sin,0.16943392157554626
topology_17_prestress,amp=1,sample_2,1,0.29709759303462224,-0.0005714062983017687,0.13805188622110987,0.0,0.0,validation,0.015125580132007599,0.0007733470993116498,0.012462504208087921,0.0,0.0,0.0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,1.0*5.0,sin*sin,0.20475293695926666
topology_17_prestress,amp=1,sample_2,2,0.8143824317742885,0.8280934725260709,0.824096226484249,0.8280934725260709,0.8280934725260709,validation,0.14914141595363617,0.0011309897527098656,0.12167787551879883,0.12350302934646606,0.0009365652222186327,0.10076065361499786,u_f=5.8200Hz_Td=0.500s_sin,1,5.82,0.5,sin,0.3377314805984497
topology_17_prestress,amp=1,sample_2,3,0.19975385102234167,0.01761217008385285,0.11296954602687803,0.01761217008385285,0.01761217008385285,validation,1.1166932836204069e-06,0.003088380442932248,0.0005739628104493022,1.9667393047484438e-08,5.439308370114304e-05,1.0108730748470407e-05,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,0.3089125454425812
topology_17_prestress,amp=1,sample_2,4,0.13397882180364207,-0.02289399448582552,0.08531674956940372,0.0,0.0,validation,0.00046917115105316043,5.619179501081817e-05,0.0003925422497559339,0.0,0.0,0.0,u_f=5.8200Hz_Td=2.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,2.0*5.0,cos*cos,-0.22448822855949402
topology_17_prestress,amp=1,sample_2,5,0.6159192447090824,0.28016456277045276,0.4651959773875406,0.28016456277045276,0.28016456277045276,validation,0.05780017748475075,0.4640507996082306,0.13318054378032684,0.016193561255931854,0.13001058995723724,0.03731247037649155,u_f=5.8200Hz_Td=5.000s_sin,1,5.82,5.0,sin,-0.4564029574394226
topology_17_prestress,amp=1,sample_2,6,0.1699868540180105,-0.08563625663854157,0.024859689961086673,0.0,0.0,validation,0.00043193766032345593,0.034346550703048706,0.006724841892719269,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,sin*cos,0.334949254989624
topology_17_prestress,amp=1,sample_2,7,0.195710696439377,-0.24375200114939166,-0.06581417462424377,0.0,0.0,validation,0.00011650865053525195,3.7004556361353025e-05,0.00010175655188504606,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.3852880895137787
topology_17_prestress,amp=1,sample_2,8,0.6217674966256435,0.4272868115474503,0.5176098614321065,0.4272868115474503,0.4272868115474503,validation,0.16072791814804077,0.004527003969997168,0.1317446231842041,0.0686769187450409,0.0019343290477991104,0.056292738765478134,u_f=5.8200Hz_Td=5.000s_cos,1,5.82,5.0,cos,0.44927114248275757
topology_17_prestress,amp=1,sample_2,9,0.12397081375889141,-0.10334357939021599,-0.0032371429736051116,0.0,0.0,validation,0.003716858336701989,0.0017455605557188392,0.0033510811626911163,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,-0.34424400329589844
topology_17_prestress,amp=1,sample_2,10,0.1367383523070861,-0.1819988016606371,0.026464118426807293,0.0,0.0,validation,0.00862301979213953,0.013894453644752502,0.009601141326129436,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.3013008236885071
topology_17_prestress,amp=1,sample_2,11,0.150310055479289,-0.10034717655744951,0.012939698283378709,0.0,0.0,validation,0.0019764266908168793,0.014675755985081196,0.004332805052399635,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,-0.4049507677555084
topology_17_prestress,amp=1,sample_2,12,0.08640409935680193,-0.07258725467790983,-0.016285638645004763,0.0,0.0,validation,0.0032477343920618296,0.0032006732653826475,0.003239002078771591,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,0.2*5.0,sin*sin,0.3266071081161499
topology_17_prestress,amp=1,sample_2,13,0.12288270853888583,-0.12538617721281597,-0.008239986907813801,0.0,0.0,validation,0.0013452880084514618,0.000575231562834233,0.0012024028692394495,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,5.82*5.82,0.2*0.2,sin*sin,0.41064491868019104
topology_17_prestress,amp=1,sample_2,14,0.14118725655900055,0.012840366102748857,0.04467052634070323,0.012840366102748857,0.012840366102748857,validation,0.000639825186226517,0.004893210716545582,0.0014290468534454703,8.215589332394302e-06,6.283061520662159e-05,1.8349484889768064e-05,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,cos*cos,-0.412031888961792
topology_17_prestress,amp=1,sample_2,15,0.09898040514589057,-0.15954243490656994,-0.057483525032638205,0.0,0.0,validation,0.0008389418362639844,0.0013179791858419776,0.0009278278448618948,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,0.2*5.0,sin*sin,0.33125123381614685
topology_17_prestress,amp=1,sample_2,16,0.16213338516367437,-0.10368342698071431,0.02577272965387023,0.0,0.0,validation,0.0013801417080685496,0.0003477080608718097,0.0011885721469298005,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,cos*cos,0.3755130469799042
topology_17_prestress,amp=1,sample_2,17,0.07885791583505053,0.010490257758269506,0.03187655422093294,0.010490257758269506,0.010490257758269506,validation,2.6039950171252713e-05,6.941637487045682e-09,2.1209491023910232e-05,2.7316576733937836e-07,7.281956287963354e-11,2.224930142347148e-07,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,-0.32477661967277527
topology_17_prestress,amp=1,sample_2,18,0.2824576336612692,0.17537634573271277,0.21337889638347496,0.17537634573271277,0.17537634573271277,validation,0.04386138170957565,0.001400790293700993,0.035982757806777954,0.007692248560488224,0.00024566546198911965,0.006310524418950081,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,0.5395841002464294
topology_17_prestress,amp=1,sample_2,19,0.1780713028175479,0.03197551315767244,0.08242621722177956,0.03197551315767244,0.03197551315767244,validation,0.0530862919986248,0.03585550934076309,0.04988909885287285,0.0016974613536149263,0.0011464982526376843,0.0015952294925227761,u_f=5.8200Hz_Td=0.200s_cos,1,5.82,0.2,cos,-0.6150332689285278
topology_17_prestress,amp=1,sample_3,0,0.22800673671017047,-0.06796302246313601,0.07574960465100289,0.0,0.0,validation,0.06343430280685425,0.0548224039375782,0.06182563677430153,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,5.82*5.82,0.5*1.0,cos*sin,0.1694401353597641
topology_17_prestress,amp=1,sample_3,1,0.246589717094699,-0.03213813102967156,0.10025436801956233,0.0,0.0,validation,0.015446409583091736,0.00016894137661438435,0.012592640705406666,0.0,0.0,0.0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,1.0*5.0,sin*sin,0.20596100389957428
topology_17_prestress,amp=1,sample_3,2,0.7995651453404227,0.8379345115125786,0.8244938075163766,0.8379345115125786,0.8379345115125786,validation,0.13754552602767944,0.001353652449324727,0.11210543662309647,0.11525414139032364,0.001134272082708776,0.09393700957298279,u_f=5.8200Hz_Td=0.500s_sin,1,5.82,0.5,sin,0.3377385437488556
topology_17_prestress,amp=1,sample_3,3,0.22135031999601196,0.05350572888315297,0.14116385345332205,0.05350572888315297,0.05350572888315297,validation,8.56969490996562e-05,0.0022693832870572805,0.000493600673507899,4.585278020385886e-06,0.00012142500781919807,2.6410463760839775e-05,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,0.3080856204032898
topology_17_prestress,amp=1,sample_3,4,0.14214386330387874,0.004767557609320461,0.1096480096169058,0.004767557609320461,0.004767557609320461,validation,0.0010814475826919079,1.1322645150357857e-06,0.0008796490146778524,5.15586361871101e-06,5.398136160295053e-09,4.193777385808062e-06,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_sin,2,5.82*5.82,0.2*0.2,cos*sin,0.22875458002090454
topology_17_prestress,amp=1,sample_3,5,0.6149743603829181,0.26342221093335794,0.4598266027362582,0.26342221093335794,0.26342221093335794,validation,0.06145475432276726,0.47132816910743713,0.1380174458026886,0.016188547015190125,0.12415831536054611,0.036356862634420395,u_f=5.8200Hz_Td=5.000s_sin,1,5.82,5.0,sin,-0.45977887511253357
topology_17_prestress,amp=1,sample_3,6,0.19964309201070496,-0.06138433072007876,0.05349117402376502,0.0,0.0,validation,0.0009336321381852031,0.0269168633967638,0.005787193775177002,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,sin*cos,0.33691516518592834
topology_17_prestress,amp=1,sample_3,7,0.12060813803492287,-0.10193725992162617,-0.013453644774599427,0.0,0.0,validation,6.268209835980088e-05,0.00019540419452823699,8.74740508152172e-05,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.3741095960140228
topology_17_prestress,amp=1,sample_3,8,0.6150433167750977,0.4322834367272317,0.5184058177277617,0.4322834367272317,0.4322834367272317,validation,0.16740040481090546,0.004839751869440079,0.13703474402427673,0.07236441969871521,0.002092144452035427,0.059237848967313766,u_f=5.8200Hz_Td=5.000s_cos,1,5.82,5.0,cos,0.45564356446266174
topology_17_prestress,amp=1,sample_3,9,0.12200065957046269,-0.06612956601613074,0.017283214111053602,0.0,0.0,validation,0.003694382729008794,0.0015586764784529805,0.0032954413909465075,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,-0.3420499861240387
topology_17_prestress,amp=1,sample_3,10,0.13956811449601148,-0.09146556576892917,0.06572171390245585,0.0,0.0,validation,0.008544654585421085,0.012243418954312801,0.009235568344593048,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.3000481426715851
topology_17_prestress,amp=1,sample_3,11,0.14337127981901765,-0.08584442990095686,0.017721948286638867,0.0,0.0,validation,0.0020579558331519365,0.016739264130592346,0.004800364375114441,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,-0.4145027995109558
topology_17_prestress,amp=1,sample_3,12,0.08923201047265572,-0.031468621040167566,0.01433160249941301,0.0,0.0,validation,0.002650822978466749,0.004859248176217079,0.0030633481219410896,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,0.2*5.0,sin*sin,0.3440566062927246
topology_17_prestress,amp=1,sample_3,13,0.10755129569816368,-0.1478511280450745,-0.02414516333065375,0.0,0.0,validation,0.0009741688845679164,0.0004068768466822803,0.0008682010811753571,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,5.82*5.82,0.2*0.2,sin*sin,0.40808039903640747
topology_17_prestress,amp=1,sample_3,14,0.12047981156862297,0.006890290246007513,0.0341890287875769,0.006890290246007513,0.006890290246007513,validation,0.0005172068485990167,0.005697037559002638,0.0014847781276330352,3.5637053770187777e-06,3.925424243789166e-05,1.023055210680468e-05,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,cos*cos,-0.40079838037490845
topology_17_prestress,amp=1,sample_3,15,0.12737207521747296,-0.11498207370018165,-0.017978884455842614,0.0,0.0,validation,0.0007620159303769469,0.0011681312462314963,0.0008378765778616071,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,0.2*5.0,sin*sin,0.32584285736083984
topology_17_prestress,amp=1,sample_3,16,0.1052953418531295,-0.04101472094103653,0.05056377746050267,0.0,0.0,validation,0.0006465082988142967,0.00026260834420099854,0.0005747973336838186,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,cos*cos,-0.3690389096736908
topology_17_prestress,amp=1,sample_3,17,0.08746116252049785,0.018904572189436974,0.04026973825183677,0.018904572189436974,0.018904572189436974,validation,1.7110770613726345e-06,9.727592259878293e-05,1.956220148713328e-05,3.2347180933811615e-08,1.8389597471468733e-06,3.6981504081268213e-07,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,0.31162330508232117
topology_17_prestress,amp=1,sample_3,18,0.2708955945717211,0.11463880593448117,0.16843670489241647,0.11463880593448117,0.11463880593448117,validation,0.043765898793935776,0.001396950799971819,0.035851553082466125,0.0050172703340649605,0.00016014477296266705,0.0041099791415035725,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,-0.5396121740341187
topology_17_prestress,amp=1,sample_3,19,0.17298715035065904,-0.029307699848876823,0.039707732130492945,0.0,0.0,validation,0.05557379499077797,0.03317437320947647,0.0513896718621254,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_cos,1,5.82,0.2,cos,0.6140491366386414
topology_17_prestress,amp=1,sample_4,0,0.2513526744641168,-0.12499452103813513,0.04671089070047074,0.0,0.0,validation,0.06710381805896759,0.060907602310180664,0.06595639884471893,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,5.82*5.82,0.5*1.0,cos*sin,0.16915422677993774
topology_17_prestress,amp=1,sample_4,1,0.275591424365096,-0.14654885029291131,0.05228958907528147,0.0,0.0,validation,0.015522773377597332,0.000303805893054232,0.012704504653811455,0.0,0.0,0.0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,1.0*5.0,sin*sin,0.20531532168388367
topology_17_prestress,amp=1,sample_4,2,0.8110871824534956,0.8234521278204194,0.8200969160274522,0.8234521278204194,0.8234521278204194,validation,0.1433473527431488,0.0011690057581290603,0.11701858043670654,0.11803968250751495,0.0009626202518120408,0.09635920077562332,u_f=5.8200Hz_Td=0.500s_sin,1,5.82,0.5,sin,-0.33786410093307495
