topology_index,topology,amplitude,sample,num_nodes,hidden_node,reference_node,horizon_steps,H_cut,D_cut,actual_test_nmse_2d,actual_test_nmse_x,actual_test_nmse_y,basis_nmse_2d,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_clipped
14,topology_14_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.273133028288945,0.26541081295456,0.6856267936059887,0.3043326784820081,9.88632149772999,9.88632149772999,12.354287815584653
15,topology_15_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.23527323570505107,0.22929010158780558,0.39309575081393433,0.2644653616472113,10.495115494899519,10.495115494899519,16.509289973493182
15,topology_15_prestress,amp=2.5,sample_1,16,10,0,5,27,1,0.23319327882612215,0.22672749812123696,0.40697061539374313,0.2632779432443879,10.521658474974835,10.521658474974835,15.298470548013633
15,topology_15_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.2518390144292499,0.24575548929075636,0.4119716381211163,0.26343958885019203,11.02689742358232,11.02689742358232,15.060444769354229
15,topology_15_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.23264224952156853,0.22584582212234358,0.4127156542788089,0.26250256988494697,11.353251462282216,11.353251462282216,14.770641954110943
15,topology_15_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.2350012006372313,0.22785343103950495,0.4231234183470029,0.2638064209877745,11.237198206684113,11.237198206684113,15.743434829377453
16,topology_16_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.46736210736496153,0.46494115401507397,0.559251827557298,0.44161347410802093,5.167674504453606,5.217383985443059,7.984706517297083
16,topology_16_prestress,amp=2.5,sample_1,16,10,0,5,27,1,0.5388101299013509,0.5368855840222535,0.6097771582139146,0.4432710715981415,4.447604596990157,4.770421436940477,5.269107421287187
16,topology_16_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.46380681140253976,0.4606507693498487,0.5805950984615892,0.4421170896466675,5.1401549469653816,5.196481955525941,8.00554165830831
16,topology_16_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.5506257058966281,0.5508706315264239,0.541287311739918,0.44078923858051283,5.03291305185411,5.114340900800719,7.06457626280125
16,topology_16_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.5664152516093539,0.5660911673062349,0.5793660026760045,0.44019176706269864,5.550303300142209,5.550303300142209,11.813734493618378
17,topology_17_prestress,amp=1,sample_0,16,10,0,5,27,1,0.18768882035214934,0.19991707860553345,0.08186564363268196,0.3329133025905722,9.93472901494086,9.93472901494086,14.11614883759509
17,topology_17_prestress,amp=1,sample_2,16,10,0,5,27,1,0.19421200551888743,0.20620696967430327,0.09546523472180712,0.33636863382447946,11.013250495033896,11.013250495033896,14.160365428665813
17,topology_17_prestress,amp=1,sample_3,16,10,0,5,27,1,0.2066623688799555,0.22100811113863164,0.08927431802549274,0.3381613500161471,11.175768025585151,11.175768025585151,16.02242306599598
17,topology_17_prestress,amp=1,sample_4,16,10,0,5,27,1,0.17647432050320253,0.18848004566905277,0.07854015978022354,0.337673098708882,10.96270000942102,10.96270000942102,14.203761987082743
