H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
3,2,14.0,0.0,0.60000000004,0.48989794850764584,0.8166297764836191,0.011517322490365568,0.49954513400082334,0.01988865092080301,0.2916881446833199,0.005062623234738034,0.9331621405064243,0.008675325132210478,0.9367986609406872,0.003072885636482829,0.580383341561896,0.01780377069973377,0.361138473194469,0.00430252251241088,299.0,0.0,299.0,0.0,0.046822742474916385,0.0,5
4,2,20.0,0.0,0.20002000006,0.3999900018450432,0.7987210319406823,0.01526231085794547,0.466308668498648,0.01682238791237207,0.29795542767651806,0.005342660989001678,0.9024103083320634,0.009587770333072876,0.9627051713867413,0.015398209262580762,0.5476213841842102,0.01505255091733752,0.36949304297575625,0.0047695879203555665,299.0,0.0,299.0,0.0,0.06688963210702341,0.0,5
5,2,27.0,0.0,0.60004,0.48984895876178,0.7877860802517972,0.00566513685754679,0.45447551426887867,0.021175622192104664,0.3075363629676874,0.0030889184450280864,0.8923292519011949,0.022666185978463663,0.9826664768356193,0.03269479710867123,0.5361146188637471,0.02145045457860976,0.38023374071243493,0.0039390265184195425,299.0,0.0,299.0,0.0,0.0903010033444816,0.0,5
6,2,35.0,0.0,1.0,0.0,0.814285859877663,0.006057216208755494,0.4693352176831649,0.00974342945877858,0.30951822332605783,0.0020608817257285333,0.8847017330368872,0.0023386252705069606,0.9433768888297482,0.004304741452745394,0.5467786966099244,0.00797856149718301,0.3777401180961162,0.0027234519980715525,299.0,0.0,299.0,0.0,0.11705685618729098,0.0,5
7,2,44.0,0.0,1.0,0.0,0.8705846116494346,0.018989399474430926,0.4489159720099988,0.008312158983955827,0.299040046301878,0.0015210602646612923,0.8596759933898867,0.0016690659146156952,0.933749311183291,0.005998168150069125,0.5255005492127162,0.006643194658520526,0.36735115817632435,0.0020601501845885937,299.0,0.0,299.0,0.0,0.14715719063545152,0.0,5
8,2,54.0,0.0,1.0,0.0,0.9519711346007552,0.020629952130341956,0.444110023927787,0.008582248765620094,0.2976938089939346,0.0012391069380669432,0.8399115195097924,0.0019307860374071088,0.9475593108870785,0.006688948559512776,0.5179056837221789,0.006941449254656188,0.36763562042995696,0.0017598293156318972,299.0,0.0,299.0,0.0,0.1806020066889632,0.0,5
9,2,65.0,0.0,1.0,0.0,0.9934785743771428,0.026852361216244982,0.43712655818260837,0.008536407937482973,0.30751744049405577,0.00124536384272895,0.8106626217723163,0.0023736092710454418,0.9515448455176434,0.008679895155033993,0.5067713228432251,0.006990940037344171,0.376827498233089,0.0014313837038044204,299.0,0.0,299.0,0.0,0.21739130434782608,0.0,5
10,2,77.0,0.0,1.0,0.0,1.0187658070195433,0.03198151779460714,0.4310734952164423,0.008345473416903908,0.31734128444275866,0.002117180284362277,0.7985316759346672,0.0030850557494817485,0.9805402637171925,0.009686237791842177,0.49958571066239543,0.006929724132388845,0.3887114054968467,0.002255824790315852,299.0,0.0,299.0,0.0,0.25752508361204013,0.0,5
11,2,90.0,0.0,1.0,0.0,1.033670791614169,0.0348390301832294,0.42566103609333705,0.008113581778322422,0.318094829214649,0.002255410825206354,0.7671865324106133,0.0037754101382313126,1.0214232943818886,0.011438231288629945,0.48933674927836374,0.006933053002178915,0.3937803888771563,0.0022212078185581186,299.0,0.0,299.0,0.0,0.3010033444816054,0.0,5
12,2,104.0,0.0,1.0,0.0,1.0730647477489832,0.04031540962169863,0.4105064499558452,0.007314334204623029,0.3139406353277014,0.0019563011064299566,0.7495503820627198,0.003969086908148033,1.019607684829262,0.014707650133531968,0.47371889558889063,0.006352960412211565,0.38987242620917384,0.0015862703941968168,299.0,0.0,299.0,0.0,0.34782608695652173,0.0,5
