topology,amplitude,sample,H,D,fold,selected_alpha,number_of_terms,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,train_nmse_x,val_nmse_x,train_nmse_y,val_nmse_y,train_nmse_2d,val_nmse_2d
topology_12_prestress,amp=2.5,sample_4,24,2,0,1.0,350,430,0.813953488372093,True,overparameterized_terms_gt_0.8_train_rows,0.1794747514376316,0.7651398172635865,0.32845601139409525,0.9268359232417769,0.1849829544722312,0.7751784412048369
topology_12_prestress,amp=2.5,sample_4,24,2,1,1.0,350,430,0.813953488372093,True,overparameterized_terms_gt_0.8_train_rows,0.16046171424424366,0.8856651252763293,0.3501160937993651,0.8814248311948361,0.16765780305757513,0.8854455904499504
topology_12_prestress,amp=2.5,sample_4,24,2,2,1.0,350,430,0.813953488372093,True,overparameterized_terms_gt_0.8_train_rows,0.22074559046355488,0.5010550092151531,0.3797237565220695,0.7485793860919104,0.2280951503452755,0.5091174065755475
topology_12_prestress,amp=2.5,sample_4,24,2,3,1.0,350,430,0.813953488372093,True,overparameterized_terms_gt_0.8_train_rows,0.22151039874862075,0.5411777284179936,0.3891102673211993,0.7572043551381332,0.2285109471765628,0.5503756339462478
topology_12_prestress,amp=2.5,sample_4,25,2,0,1.0,377,429,0.8787878787878788,True,overparameterized_terms_gt_0.8_train_rows,0.1748620064619625,0.7913827848640328,0.3072507595530022,0.9640646099483997,0.17975226824273877,0.8021070499834807
topology_12_prestress,amp=2.5,sample_4,25,2,1,1.0,377,429,0.8787878787878788,True,overparameterized_terms_gt_0.8_train_rows,0.15972558119876626,0.9184754156627885,0.34987950145276986,0.8542926793754249,0.16694614062831623,0.91514763004415
topology_12_prestress,amp=2.5,sample_4,25,2,2,1.0,377,429,0.8787878787878788,True,overparameterized_terms_gt_0.8_train_rows,0.2147149739455942,0.5293614895007295,0.3699495867629477,0.7645448328962333,0.22188710595097905,0.5370219130554762
topology_12_prestress,amp=2.5,sample_4,25,2,3,1.0,377,429,0.8787878787878788,True,overparameterized_terms_gt_0.8_train_rows,0.21851254064014897,0.5431676772552889,0.37870270926128546,0.7979527378592873,0.22520880829695322,0.5540158257128494
topology_12_prestress,amp=2.5,sample_4,26,2,0,1.0,405,429,0.9440559440559441,True,overparameterized_terms_gt_0.8_train_rows,0.17133000824180697,0.8339442133620927,0.3010917645641701,0.9925287105038436,0.17612323230906043,0.8437532478178231
topology_12_prestress,amp=2.5,sample_4,26,2,1,1.0,405,429,0.9440559440559441,True,overparameterized_terms_gt_0.8_train_rows,0.15572955540543423,0.9489941001248219,0.34331412674859735,0.8649062906099028,0.16283919178232778,0.944634264140988
topology_12_prestress,amp=2.5,sample_4,26,2,2,1.0,405,429,0.9440559440559441,True,overparameterized_terms_gt_0.8_train_rows,0.20494519008787665,0.5695296242116892,0.355547614782883,0.7811889120338198,0.21188946422875662,0.5764238190581622
topology_12_prestress,amp=2.5,sample_4,26,2,3,1.0,405,429,0.9440559440559441,True,overparameterized_terms_gt_0.8_train_rows,0.21269715460526264,0.5575880085894628,0.3686220030430847,0.8554118055989273,0.21920212973425962,0.5702686451875967
topology_12_prestress,amp=2.5,sample_4,27,2,0,1.0,434,428,1.014018691588785,True,overparameterized_terms_gt_0.8_train_rows,0.1638680786669745,0.8723057282956913,0.28542741653329473,1.0646672506099402,0.16836160162279667,0.8837032288045572
topology_12_prestress,amp=2.5,sample_4,27,2,1,1.0,434,428,1.014018691588785,True,overparameterized_terms_gt_0.8_train_rows,0.15436856286820017,0.9482543549742811,0.33420801502153324,0.8721361792897547,0.1611486561999961,0.9443067026746513
topology_12_prestress,amp=2.5,sample_4,27,2,2,1.0,434,428,1.014018691588785,True,overparameterized_terms_gt_0.8_train_rows,0.19175626435414858,0.6100335992820816,0.33135927629903794,0.8659873344364465,0.1981432871320727,0.6183798204982304
topology_12_prestress,amp=2.5,sample_4,27,2,3,1.0,434,428,1.014018691588785,True,overparameterized_terms_gt_0.8_train_rows,0.1996734935029208,0.6548636796032637,0.3521680342412698,0.9634402675223752,0.20598839938616245,0.6679970404207939
topology_12_prestress,amp=2.5,sample_4,28,2,0,1.0,464,427,1.0866510538641687,True,overparameterized_terms_gt_0.8_train_rows,0.15595054479406603,0.9223145197316234,0.272453360620299,1.1232422195798213,0.1602494760889628,0.9342216829832858
