topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_train_rows,num_validation_rows,terms_per_train_row,condition_number,overparameterized,ill_conditioned,condition_warning,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,train_validation_gap_2d
topology_17_prestress,amp=1,sample_0,5,2,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",27,299,299,0.0903010033444816,10838272.477398954,False,False,,0.4221831705499953,0.8695397599686121,0.5069901348360135,0.29582741882384,1.0410759400895468,0.3730233578912945,-0.13396677694471903
topology_17_prestress,amp=1,sample_0,6,2,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",35,299,299,0.11705685618729098,23961096.466788605,False,False,,0.41248480952968886,0.8325482345820054,0.49211771251782127,0.3031548164833666,1.0228171227606655,0.3777004290666335,-0.11441728345118779
topology_17_prestress,amp=1,sample_0,7,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",44,299,299,0.14715719063545152,41258626.35852045,False,False,,0.39467355020165457,0.7980179066089678,0.4711369604606978,0.2906121826156344,1.0733860372536765,0.3716951516681689,-0.0994418087925289
topology_17_prestress,amp=1,sample_0,8,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",54,299,299,0.1806020066889632,218285177.83362308,False,False,,0.40466927880869485,0.7529903413578571,0.4707017294540849,0.29498520405842504,1.1684547032674373,0.38546280490451656,-0.08523892454956833
topology_17_prestress,amp=1,sample_0,9,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",65,299,299,0.21739130434782608,418065317.49755454,False,False,,0.36103089016856993,0.7260576916890693,0.43023030658986344,0.311357123591483,1.1560299683351747,0.39885184728985995,-0.03137845930000349
topology_17_prestress,amp=1,sample_0,10,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",77,299,299,0.25752508361204013,267203963.65997764,False,False,,0.3468856039605895,0.6870234765924462,0.4113667384714289,0.33416320609961814,1.2568079583344256,0.4297345840252787,0.018367845553849793
topology_17_prestress,amp=1,sample_0,11,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",90,299,299,0.3010033444816054,224459121.32071906,False,False,,0.3288094956961158,0.6492145766191623,0.3895498153820581,0.361534981704702,1.333781204317356,0.462244286074606,0.07269447069254792
topology_17_prestress,amp=1,sample_0,12,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",104,299,299,0.34782608695652173,196007704.33916622,False,False,,0.2971070339635274,0.6123226938022577,0.35686357681691055,0.37900712359809485,1.334365997435469,0.477967166198444,0.12110358938153343
topology_17_prestress,amp=1,sample_0,13,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",119,299,299,0.3979933110367893,232719010.30962,False,False,,0.266114934579128,0.5625229143336373,0.32230603927661367,0.4446738976832465,1.5534711163991846,0.5595277217321514,0.2372216824555377
topology_17_prestress,amp=1,sample_0,14,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",135,299,299,0.451505016722408,519927652.1851336,False,False,,0.24666699824866506,0.5152063530804731,0.2975749495637639,0.46623664733785214,1.6920878466632456,0.5932154091717847,0.2956404596080208
topology_17_prestress,amp=1,sample_0,15,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",152,299,299,0.5083612040133779,1307807255.4936714,False,False,,0.2258360401343069,0.463486212487509,0.2708882203324721,0.4611449711722334,1.817814269215067,0.6016744153481588,0.3307861950156867
