H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
3,3,34.0,0.0,6.000004e-05,4.898974586586871e-05,0.7291492088054992,0.028821694171016047,0.38940457608560164,0.007942588188721537,0.4135785079636388,0.014161399529475685,0.552255039023204,0.008513043086487967,0.48040466326671105,0.06368184979711032,0.3956137428861993,0.00804264023663999,0.4157061807598438,0.012821127538771447,299.0,0.0,299.0,0.0,0.11371237458193979,0.0,5
4,3,55.0,0.0,0.40006,0.4898489587617799,0.7860681910027353,0.02153456162841965,0.3849731863556795,0.027584310704808834,0.4265938410599005,0.02589028091486591,0.542210570494216,0.03459450014147341,0.5747324650492386,0.09813265023399574,0.39096662429537876,0.027708498133167624,0.43126531916641014,0.02723018933430139,299.0,0.0,299.0,0.0,0.18394648829431437,0.0,5
5,3,83.0,0.0,1.0,0.0,0.8285508863132162,0.01380369864752274,0.39943001772436426,0.0015510196797151664,0.480724300651522,0.0073185032081549296,0.5494089756578686,0.006193856202854117,0.6718265479691612,0.09579356299678973,0.4051463415847024,0.0014378834754158094,0.4867393550953013,0.005512580262319472,299.0,0.0,299.0,0.0,0.27759197324414714,0.0,5
6,3,119.0,0.0,1.0,0.0,0.9027405762601173,0.012398590574396014,0.39219671237818304,0.0014149920539526133,0.5616597605194965,0.00844649739977306,0.5421283864671163,0.006277518863330921,0.7158191246750129,0.09860737665946251,0.3979110824245845,0.001290563058525399,0.5665295751581475,0.0061803344757399795,299.0,0.0,299.0,0.0,0.3979933110367893,0.0,5
7,3,164.0,0.0,1.0,0.0,0.9917590593772762,0.015279939585165088,0.38183244480302647,0.0013477217207247013,0.5815649509480749,0.008368237556072855,0.5164255185481188,0.005103202222978941,0.5945346338990696,0.08851551072312723,0.3869633566989,0.0012016179544669908,0.5820413383303703,0.006009133828534335,299.0,0.0,299.0,0.0,0.5484949832775919,0.0,5
8,3,219.0,0.0,1.0,0.0,1.0867489925661762,0.01609470819786434,0.369226831373922,0.0012971705479587537,0.5769273217135231,0.00890576932383689,0.5034507411616514,0.0046059340094698545,0.6160631422283076,0.07723877261404391,0.37434475416501184,0.001168729866403488,0.5782082223896035,0.00657048698711852,299.0,0.0,299.0,0.0,0.7324414715719063,0.0,5
9,3,285.0,0.0,1.0,0.0,1.1815976286958354,0.019598482651452375,0.34943062147392506,0.0017049420367836407,0.5864297270052687,0.006828496859357396,0.4763811702363501,0.004164432232407271,0.6831351135237652,0.0840606730907468,0.3542718151905139,0.0015798121746175694,0.5895019624200997,0.00464993258010439,299.0,0.0,299.0,0.0,0.9531772575250838,1.1102230246251565e-16,5
10,3,363.0,0.0,1.0,0.0,1.2964675312136587,0.017983215882673743,0.32837891845502803,0.0018542506455044066,0.6376664347034477,0.006800642707506462,0.45959091122952633,0.005021146170415152,0.7158724423501299,0.07563701858654717,0.33338241761760135,0.0017618113150786588,0.6401570177972632,0.005174078551913431,299.0,0.0,299.0,0.0,1.214046822742475,0.0,5
11,3,454.0,0.0,1.0,0.0,1.4202334068232738,0.021618337309736946,0.30769032211044756,0.0017426891440740057,0.6740382432593258,0.008169379379916065,0.44187279329453544,0.00453301543523031,0.700932705074678,0.06682860460356878,0.3128071101743931,0.0016819154562387247,0.6749272608830509,0.006785057831960034,299.0,0.0,299.0,0.0,1.5183946488294315,0.0,5
12,3,559.0,0.0,1.0,0.0,1.492814684678465,0.027562516795574164,0.28308896372015124,0.0017992607994964892,0.7225841574127985,0.008499508778933504,0.4141458418251548,0.004460347388333593,0.7790049863101289,0.08123238916041396,0.288086198859801,0.0017783030755950332,0.7244014995517627,0.007040622706205564,299.0,0.0,299.0,0.0,1.8695652173913042,2.220446049250313e-16,5
13,3,679.0,0.0,1.0,0.0,1.5081763223358096,0.02970244915885499,0.259814362337465,0.0020041335079497005,0.7737079582850734,0.010634002298562636,0.3888172061846881,0.004456000288700478,0.8849937334083744,0.10100677531337343,0.26473391045749484,0.0020337954858104684,0.7772458328158349,0.008558770245246882,299.0,0.0,299.0,0.0,2.270903010033445,0.0,5
14,3,815.0,0.0,1.0,0.0,1.5232649317737288,0.02380582488284646,0.24120134618540395,0.002087727363230112,0.8066133707767031,0.01088774952489124,0.35087868712119136,0.003584245688089872,0.8942634826877984,0.09913799294076868,0.24538467622900617,0.002135334992966192,0.8094142669963883,0.010331537744373676,299.0,0.0,299.0,0.0,2.725752508361204,0.0,5
15,3,968.0,0.0,1.0,0.0,1.6593213782205667,0.02248116197866819,0.22202234867422482,0.002196216665802684,0.8879203218909844,0.015333768962145224,0.3306268050431863,0.003372967236328073,0.9396329676759129,0.10912389736021275,0.22616457868309076,0.0022443320069845786,0.88960602629358,0.016214128505583455,299.0,0.0,299.0,0.0,3.2374581939799336,4.440892098500626e-16,5
