sample,H,D,number_of_terms,selected_alpha,validation_nmse_2d,train_nmse_x,test_nmse_x,train_nmse_y,test_nmse_y,train_nmse_2d,test_nmse_2d,num_train_rows,num_test_rows,terms_per_train_row
sample_2,10,1,11,0.01,0.6344785207861582,0.4209534607616879,0.2520170979990145,0.5794509185716433,0.41181873358375787,0.4268321917936829,0.25685055644071975,299,299,0.03678929765886288
sample_2,11,1,12,0.01,0.6319047428581042,0.42008687635564534,0.25013737879774417,0.5793652131312486,0.41264625223056217,0.42599457048566697,0.2550527220185543,299,299,0.04013377926421405
sample_2,12,1,13,0.01,0.63162750733841,0.42000517496951,0.2504213119194951,0.5793326734823147,0.4134848952302174,0.42591469252707476,0.25535343323605014,299,299,0.043478260869565216
sample_2,13,1,14,0.01,0.6254840169092531,0.4182670616497744,0.2531757380112347,0.5789834237037643,0.41432850080680766,0.4242280926846633,0.258050063476604,299,299,0.046822742474916385
sample_2,14,1,15,0.01,0.6359347568258764,0.41811706656589803,0.2520312559627868,0.5787438751914546,0.41357247978917405,0.4240747760300435,0.25691733105913916,299,299,0.05016722408026756
sample_2,15,1,16,0.01,0.6563900818023751,0.4181138477361184,0.25170354593964056,0.5783789683014822,0.416575087863193,0.4240581420524578,0.25669035188309247,299,299,0.05351170568561873
sample_2,16,1,17,0.01,0.654269081430929,0.4174026473009599,0.2531931628072417,0.5745484075398416,0.42320847348152657,0.4232312433556067,0.2583355503403278,299,299,0.056856187290969896
sample_2,17,1,18,0.01,0.6544820137209852,0.417279895635952,0.2542286723232202,0.5742891060674523,0.42306189917840914,0.42310342700627457,0.2593353058229178,299,299,0.06020066889632107
sample_2,18,1,19,0.01,0.6547548603452754,0.4172796253675357,0.2541799319339831,0.5719790763437452,0.4220802172594702,0.4230174868806007,0.2592583471110346,299,299,0.06354515050167224
sample_2,19,1,20,0.01,0.6588552367200357,0.4172793311981212,0.25418646672925294,0.5714170044752155,0.4227488904202848,0.422996356162522,0.25928490935008364,299,299,0.06688963210702341
sample_2,20,1,21,0.01,0.6585242136559146,0.4171782732250059,0.25445639481016197,0.568464787518782,0.4237336953235846,0.42278954761760557,0.25957646003453666,299,299,0.07023411371237458
sample_2,0,2,2,1.0,0.7043022276013012,0.4483796448723293,0.28409781748812235,0.6675183397832147,0.47542261989543966,0.4565075824675692,0.289884744999342,299,299,0.006688963210702341
sample_2,1,2,5,1.0,0.7031842585545138,0.44156393955349366,0.2858700840866633,0.6471890680422677,0.46820325229534565,0.449190653827071,0.2913850451060311,299,299,0.016722408026755852
sample_2,2,2,9,1.0,0.7039472874141611,0.4402386166398535,0.28842722346258587,0.6371222317152005,0.45526638442280865,0.44754110485403353,0.2934735432201988,299,299,0.030100334448160536
sample_2,3,2,14,1.0,0.7069823115130326,0.43735362254714677,0.2901395231947112,0.6302595578343692,0.44518137724485696,0.4445085771041388,0.2948290143600185,299,299,0.046822742474916385
sample_2,4,2,20,1.0,0.7137216404529609,0.4334482392974259,0.29369586324560315,0.6125226134951356,0.445965227309806,0.4400901759895169,0.2983014959755567,299,299,0.06688963210702341
sample_2,5,2,27,1.0,0.7185596872951295,0.4248039810174527,0.30128824397322207,0.594993214798333,0.44108092273354677,0.4311163644699288,0.30551649921460416,299,299,0.0903010033444816
sample_2,6,2,35,1.0,0.7566707602187676,0.42109885879232106,0.30416641772467484,0.591506876483672,0.44653757404720923,0.4274193570233023,0.3084726631824538,299,299,0.11705685618729098
sample_2,7,2,44,1.0,0.8203033616821155,0.41269929689013596,0.3055880703827884,0.5735648878582934,0.4142424738297122,0.4186658628822454,0.30887449821969554,299,299,0.14715719063545152
sample_2,8,2,54,1.0,0.89203024225012,0.4031056308403173,0.31141648858443755,0.5670598916880629,0.4127756877219439,0.40918675677376315,0.31448226119009925,299,299,0.1806020066889632
sample_2,9,2,65,1.0,0.9543805235563927,0.3930008530888135,0.33043609472683266,0.5443889096782359,0.43813668055550675,0.3986158937238046,0.3336936728100943,299,299,0.21739130434782608
sample_2,10,2,77,1.0,1.0172568831660387,0.3851094086107229,0.34037667861133697,0.5398037451505987,0.44635523974788816,0.3908470804273981,0.34358217127785984,299,299,0.25752508361204013
sample_2,11,2,90,1.0,1.069075976387587,0.3788865626893402,0.33248874806581086,0.5313992939839294,0.42898351524590445,0.38454331793717994,0.33540738807409615,299,299,0.3010033444816054
sample_2,12,2,104,1.0,1.109315700318215,0.37286615522848504,0.33396636618445646,0.5213149206084391,0.43502753817574896,0.3783721764338655,0.3370231244779654,299,299,0.34782608695652173
sample_2,13,2,119,1.0,1.1403558455792646,0.3674232288842995,0.3463554225282783,0.5144793488617442,0.44002293139813964,0.3728775963416802,0.3491885475448268,299,299,0.3979933110367893
sample_2,14,2,135,1.0,1.1478745405396331,0.36125918944695123,0.3678847826273459,0.4972008501354002,0.45198446671478815,0.36630131737930155,0.37042851333767135,299,299,0.451505016722408
sample_2,15,2,152,1.0,1.1853558529757122,0.35708324531966007,0.37597472205983384,0.48564495315783396,0.4708911222928372,0.36185164799209113,0.3788456218117902,299,299,0.5083612040133779
sample_2,16,2,170,1.0,1.2307171198329978,0.3475788983995662,0.3766472597530395,0.4600111907582332,0.4888477858958595,0.35174905491324177,0.38004094579551545,299,299,0.568561872909699
sample_2,17,2,189,1.0,1.255517832906038,0.33100518843610505,0.3974405122772115,0.44935236651957305,0.5316634563967896,0.33539473031243283,0.40150030190296426,299,299,0.6321070234113713
sample_2,18,2,209,1.0,1.2625455116947073,0.31410049411405144,0.43818773888751744,0.4363411941055173,0.5189161444307216,0.31863444819976455,0.44062949983589816,299,299,0.6989966555183946
sample_2,19,2,230,1.0,1.3287190680877832,0.30334876269062155,0.49238604280534937,0.42275293117546286,0.5447095480589252,0.3077775087432117,0.49396865168943227,299,299,0.7692307692307693
sample_2,20,2,252,1.0,1.368505479516954,0.2942792418758182,0.5428036119812035,0.40257140821847487,0.6363329669685809,0.2982958395398883,0.5456325583105497,299,299,0.842809364548495
