topology,amplitude,sample,mode_index,coefficient_x,coefficient_y,q_norm_sq,c_mech_x,c_mech_y,c_mech_2d,dominant_raw_feature_name,dominant_product_degree,dominant_factor_indices,dominant_drive_channel,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_4,2,1272.1802978515625,-131.52005004882812,1.0,0.3574014309428351,0.02439191172328099,0.31231251524666925,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.33539462089538574
topology_17_prestress,amp=1,sample_4,3,-37.683204650878906,-181.4195556640625,1.0,0.0003135845187363382,0.046411981080393024,0.006555228064447057,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.31169429421424866
topology_17_prestress,amp=1,sample_4,4,49.178253173828125,56.90074920654297,1.0,0.0005340785709788243,0.004565600195844743,0.0010799396595653126,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,-0.26190853118896484
topology_17_prestress,amp=1,sample_4,5,328.7568359375,-436.2568359375,1.0,0.023867588421846716,0.2683776829652874,0.05697383435009636,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,0.4421297311782837
topology_17_prestress,amp=1,sample_4,6,13.030424118041992,128.20655822753906,1.0,3.7495233209141125e-05,0.023178343333202414,0.003170726233823458,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,2,2 2,u*u,5.82*5.82,0.5*0.5,cos*cos,0.260188490152359
topology_17_prestress,amp=1,sample_4,7,-17.59271812438965,-111.89402770996094,1.0,6.834784799181333e-05,0.017655325242691765,0.002449594314934964,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,0.3548279106616974
topology_17_prestress,amp=1,sample_4,8,883.93798828125,-55.39862823486328,0.9999999403953552,0.17254505906267953,0.004327727476295231,0.14976872191679808,u_f=5.8200Hz_Td=5.000s_cos,1,8,u,5.82,5.0,cos,-0.4550444185733795
topology_17_prestress,amp=1,sample_4,9,28.087196350097656,104.81769561767578,1.0,0.0001742110654195228,0.015492843146181108,0.0022483274813369304,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.395072340965271
topology_17_prestress,amp=1,sample_4,10,184.2880401611328,-66.39620208740234,1.0,0.007499861772777514,0.006216535025228767,0.007326101540137706,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,1 1,u*u,5.82*5.82,0.2*0.2,sin*sin,0.3405337631702423
topology_17_prestress,amp=1,sample_4,11,-179.7457733154297,-112.36366271972656,1.0,0.0071347100738608435,0.017803840037154826,0.00857929190621752,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,-0.29100868105888367
topology_17_prestress,amp=1,sample_4,12,110.85620880126953,-35.26982879638672,1.0,0.0027138072608016445,0.0017541576096744523,0.002583872349874966,u_f=5.8200Hz_Td=0.500s_cos,1,2,u,5.82,0.5,cos,0.3456399142742157
topology_17_prestress,amp=1,sample_4,13,-96.0212631225586,46.8128662109375,1.0,0.0020360750656338404,0.003090241166424172,0.00217880734115463,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,2,0 0,u*u,5.82*5.82,0.2*0.2,cos*cos,-0.3825001120567322
topology_17_prestress,amp=1,sample_4,14,9.863875389099121,70.88798522949219,0.9999999403953552,2.1485926442341132e-05,0.007086097912259271,0.0009780222290716087,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,-0.36845868825912476
topology_17_prestress,amp=1,sample_4,15,83.54685974121094,21.220958709716797,1.0,0.0015414137109945976,0.0006350265882506211,0.0014186904547307156,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,-0.3301110863685608
topology_17_prestress,amp=1,sample_4,16,-249.13571166992188,60.360015869140625,1.0,0.013706637453045132,0.005137603679336313,0.012546405029882414,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,0 8,u*u,5.82*5.82,0.2*5.0,cos*cos,0.3874853551387787
topology_17_prestress,amp=1,sample_4,17,5.999013900756836,43.290164947509766,1.0,7.947283262308847e-06,0.002642654515744998,0.00036468210744361934,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.28478822112083435
topology_17_prestress,amp=1,sample_4,18,395.3318786621094,-48.898338317871094,1.0,0.03451299342430365,0.0033717091981220883,0.030296517143279102,u_f=5.8200Hz_Td=0.200s_sin,1,1,u,5.82,0.2,sin,0.582282304763794
topology_17_prestress,amp=1,sample_4,19,-316.7829895019531,204.1809539794922,1.0,0.02216065854262949,0.058788498195502616,0.027120004984471688,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,-0.6150410771369934
