topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features,number_candidate_features,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5400Hz,5.54,u,1,1,3.0,90,5.54,0.2 0.5 1 2 5,2,10,65,65,23,48.81746292114258,0.5011781183408145,0.4637259939976287,0.4942426859377388,0.6632783694592984,0.9381712086148406,0.6932973916756665,0.6932973916756665
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,3.0,90,5.55,0.2 0.5 1 2 5,2,10,65,65,23,50.231258392333984,0.4939644495066234,0.4559958406994921,0.4869333738483317,0.6776106054306995,0.9325344141991588,0.7054489569221752,0.7054489569221752
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,3.0,90,5.56,0.2 0.5 1 2 5,2,10,65,65,23,50.77075958251953,0.4859621733913596,0.4484227647369185,0.47901057756761906,0.6933788229576009,0.9325532706769765,0.7194973027322343,0.7194973027322343
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5700Hz,5.57,u,1,1,3.0,90,5.57,0.2 0.5 1 2 5,2,10,65,65,23,49.68396759033203,0.4826659714875504,0.4415501550612041,0.47505209188731173,0.6862484563327731,0.92725091502922,0.7125665597218342,0.7125665597218342
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5800Hz,5.58,u,1,1,3.0,90,5.58,0.2 0.5 1 2 5,2,10,65,65,23,48.23885726928711,0.48133458536294266,0.43561588015351493,0.47286833691650976,0.6665481802470286,0.9129902088466775,0.6934602989995796,0.6934602989995796
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,3.0,90,5.59,0.2 0.5 1 2 5,2,10,65,65,23,47.398712158203125,0.480581289322647,0.429919101417698,0.4711996004126395,0.6423594775847579,0.8953811479384636,0.669990110550329,0.669990110550329
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,3.0,90,5.6,0.2 0.5 1 2 5,2,10,65,65,22,43.47277069091797,0.48276532504042274,0.43069583031100866,0.4731230292483592,0.6021357136593085,0.8889401549366542,0.6334555142074275,0.6334555142074275
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.6100Hz,5.61,u,1,1,3.0,90,5.61,0.2 0.5 1 2 5,2,10,65,65,22,43.84735870361328,0.48299170415026293,0.4274082617465439,0.4726986910226544,0.5709754900662766,0.8778883953348233,0.6044911878561835,0.6044911878561835
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.6200Hz,5.62,u,1,1,3.0,90,5.62,0.2 0.5 1 2 5,2,10,65,65,22,44.50075912475586,0.4821591016132924,0.42393675831103217,0.4713774134339689,0.5438131434384115,0.8630994033058845,0.5786800441470163,0.5786800441470163
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.6300Hz,5.630000000000001,u,1,1,3.0,90,5.63,0.2 0.5 1 2 5,2,10,65,65,22,44.99993896484375,0.4806818559602,0.41950622951748207,0.46935327502253504,0.5182443284259116,0.8438540887944519,0.5538017720479296,0.5538017720479296
