sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_0,10,2,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10,77,ok,1.0,441,589,0.1746031746031746,0.28805738646462276,0.040364053089445386,0.4208412657749016,0.11460380429921553,0.432615673646569,0.03931378706021459,0.5502202226702207,0.09540518825367945,0.29276470826834655,0.04044196527796615,0.4254103312226475,0.11409325070325133,0.13264562295430093
sample_1,0,1,5,1,5,5,[5],0,1,ok,0.0001,449,599,0.0022271714922048997,0.31386685075463383,0.04386583697610962,0.4098296632846142,0.12590489888134399,0.5314728335573824,0.045071453854502154,0.6057960329128506,0.10559982216250859,0.32126385836870186,0.044278792427249504,0.41729967052903433,0.12488664236090577,0.09603581216033247
sample_1,1,1,5,1,5,6,"[5, 6]",1,2,ok,0.01,448,598,0.004464285714285714,0.3078357923229098,0.04374471062669481,0.4041990799961265,0.12619059245468625,0.5121664593642993,0.043370147291359344,0.5882973828157873,0.10137713740794957,0.3147736901005972,0.044091570197813235,0.4111868829064953,0.1252112995367228,0.0964131928058981
sample_1,2,1,5,1,5,7,"[5, 6, 7]",2,3,ok,0.01,447,597,0.006711409395973154,0.3075144048022959,0.043647098091188566,0.4039263074080892,0.12504658647700737,0.4818031993439063,0.04144508029508096,0.5559479765851562,0.09604367059862501,0.3134239811051702,0.04386658578089953,0.40966584142489937,0.12413891837759783,0.09624186031972914
sample_1,3,1,5,1,5,8,"[5, 6, 7, 8]",3,4,ok,0.01,447,596,0.008948545861297539,0.3071107330274991,0.04340018606422015,0.40376951830681873,0.12452771380595783,0.4790510575581234,0.040765366911413595,0.5559732828222589,0.09595843161926604,0.312942762555322,0.04360329188274938,0.4095336975506274,0.12353222640454053,0.09659093499530541
sample_1,4,1,5,1,5,9,"[5, 6, 7, 8, 9]",4,5,ok,0.01,446,595,0.011210762331838564,0.3061921008921155,0.044289656707008455,0.40553196986684337,0.12700110219402244,0.47399659729322396,0.038012285397896854,0.5516396945710862,0.08707257870280877,0.31187375450090926,0.044358243527250145,0.411007766483719,0.12566988437325435,0.09913401198280974
sample_1,5,1,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,6,ok,0.01,445,594,0.01348314606741573,0.30302567522855345,0.042761172044104005,0.40155383415085527,0.1226526312546559,0.47186971482549667,0.03676058910314102,0.5501193061305358,0.08422888768637384,0.3087394872381053,0.042844821827824786,0.4071099545896323,0.12139167189173222,0.09837046735152699
sample_1,6,1,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,7,ok,0.01,444,593,0.015765765765765764,0.3029861583449158,0.04276244213142141,0.40184600753592614,0.12271107713593012,0.46767540475763925,0.03497280768023637,0.5459071264489489,0.07720446670450833,0.3085524872582321,0.04274035699997629,0.407209484067696,0.12109526891199707,0.09865699680946394
sample_1,7,1,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,8,ok,0.01,444,592,0.018018018018018018,0.30133829715189014,0.04238431076648515,0.3991347203259242,0.1212072072058011,0.46464919068259186,0.03411086463875294,0.5419557451029394,0.07379426301102704,0.30685509909739983,0.04233671125189294,0.4044333066357982,0.11958302807522438,0.09757820753839835
sample_1,8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,9,ok,0.01,443,591,0.020316027088036117,0.30061041277761535,0.042648124635941205,0.39840539424561794,0.12128042437397499,0.46455605076327583,0.035573493778464235,0.5430574707360889,0.07996460304512099,0.3061523659437997,0.04265832005841778,0.403800848936666,0.11991499731907142,0.09764848299286633
