Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,status,number_of_terms,number_of_terms_std_across_samples,selected_alpha,selected_alpha_std_across_samples,min_cv_train_rows,min_cv_train_rows_std_across_samples,window_rows,window_rows_std_across_samples,terms_per_min_cv_train_row,terms_per_min_cv_train_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_val_gap_2d,train_val_gap_2d_std_across_samples,val_nmse_2d_cv_std_mean,num_samples,num_ok_samples
9,2,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",ok,65.0,0.0,1.0,0.0,442.0,0.0,590.0,0.0,0.14705882352941177,0.0,0.29319840246609985,0.0007668346969768492,0.4181898368959448,0.0013759890449578697,0.4306473758883865,0.005127915839376627,0.5672602530462705,0.047509318467380865,0.29784375899148113,0.0008493280020254247,0.4237189825311306,0.0019491504579789124,0.1258752235396495,0.0013389384627306743,0.1158956830386145,5,5
10,2,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",ok,77.0,0.0,1.0,0.0,441.0,0.0,589.0,0.0,0.1746031746031746,0.0,0.28868209096707115,0.0007325056638015049,0.41892055330688993,0.0014171746387092127,0.42439238306968796,0.005403820536056828,0.5689768073045928,0.04582959730178571,0.2932619335709365,0.0007958336874807803,0.42445221743591066,0.0016485024551311082,0.13119028386497425,0.0011092354048471643,0.11251505089089975,5,5
0,3,5,1,5,5,[5],ok,3.0,0.0,0.00802,0.00396,449.0,0.0,599.0,0.0,0.0066815144766147,8.673617379884035e-19,0.3102509783951224,0.0007143093511203206,0.4201059653890506,0.0017709361425517901,0.5366032578236062,0.005723470199668926,0.6478417849198346,0.05313653491810401,0.31797158863694563,0.0008540375732865046,0.4287868904143858,0.001955706931034227,0.11081530177744017,0.001335619951070085,0.13866915176037606,5,5
1,3,5,1,5,6,"[5, 6]",ok,9.0,0.0,1.0,0.0,448.0,0.0,598.0,0.0,0.020089285714285716,0.0,0.3026698475019434,0.0006012847138365952,0.41930307390433513,0.0018215953044525516,0.5155638002397721,0.005761639265612895,0.6310241037661506,0.053030989526617854,0.30992673697890427,0.0006918936860333163,0.4273676862034363,0.001493314911825065,0.11744094922453208,0.0011516695201004516,0.1412676023910387,5,5
2,3,5,1,5,7,"[5, 6, 7]",ok,19.0,0.0,1.0,0.0,447.0,0.0,597.0,0.0,0.042505592841163314,0.0,0.2987513120400441,0.0005422249109065778,0.4233407851111937,0.001833816469727779,0.4826243730368093,0.00523041527829221,0.5994919292732622,0.052596871029748325,0.30500584032561207,0.000590122360153902,0.43004038356774965,0.0015164668230845913,0.12503454324213753,0.0011903772576938678,0.14012320893689087,5,5
3,3,5,1,5,8,"[5, 6, 7, 8]",ok,34.0,0.0,1.0,0.0,447.0,0.0,596.0,0.0,0.07606263982102908,0.0,0.2957861880762717,0.0005717782809483124,0.4296475822868396,0.0017522884088010105,0.4709051155185741,0.005185285162816764,0.5942126017555599,0.050762100950414134,0.30174582174603903,0.0006065205785329026,0.435899510679666,0.0017041845701637832,0.13415368893362695,0.001320877284703634,0.1409991941992561,5,5
4,3,5,1,5,9,"[5, 6, 7, 8, 9]",ok,55.0,0.0,1.0,0.0,446.0,0.0,595.0,0.0,0.12331838565022421,0.0,0.29273453335172306,0.0005546393504313438,0.44186251093606205,0.0016019500769413665,0.4596322989156324,0.005237478803453556,0.5951392845973038,0.04771991584645152,0.29840679016403954,0.0005527804230043417,0.447632498848224,0.0022252281380947497,0.14922570868418444,0.00189672135910769,0.14058117286095903,5,5
5,3,5,1,5,10,"[5, 6, 7, 8, 9, 10]",ok,83.0,0.0,1.0,0.0,445.0,0.0,594.0,0.0,0.18651685393258427,0.0,0.2865526058023834,0.00048508698719808833,0.45560182535116694,0.0015897272890723962,0.44012412623421604,0.0047892909012535725,0.594968047569078,0.05121216944912914,0.29177718658250595,0.0004963759545399434,0.4608822532968235,0.0029101920947689703,0.1691050667143175,0.002577886591764472,0.13468291299768845,5,5
6,3,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",ok,119.0,0.0,1.0,0.0,444.0,0.0,593.0,0.0,0.268018018018018,0.0,0.2813819198277077,0.0004277312375611908,0.4640713353014817,0.001936987885803203,0.43060068983169664,0.004493022559821502,0.6016554224676478,0.050725866882115854,0.286451707232717,0.00040779344615783343,0.4693076427753472,0.0034859088522928355,0.18285593554263016,0.0032255349377010895,0.14144978316386841,5,5
7,3,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",ok,164.0,0.0,1.0,0.0,444.0,0.0,592.0,0.0,0.36936936936936937,0.0,0.2749957087224117,0.00041964500671765205,0.4707585109761803,0.00210951415360764,0.40377339956674907,0.0042006920015359725,0.5623325038062928,0.04767392542368648,0.27936078018959626,0.00033311445237288543,0.47418357553581114,0.0035501312999052757,0.19482279534621488,0.0034012506602115497,0.14766840534699627,5,5
8,3,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",ok,219.0,0.0,1.0,0.0,443.0,0.0,591.0,0.0,0.49435665914221216,0.0,0.2700512028973285,0.0003769843952651182,0.4815767301252942,0.001838810992456665,0.3984946296351278,0.0042363367903562,0.5699305121774879,0.0475343006953407,0.27441222734547643,0.0003077048755668905,0.4849106574993726,0.003187482240702525,0.21049843015389622,0.0030076021839583484,0.148701890048028,5,5
9,3,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",too_many_terms,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,0
10,3,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",too_many_terms,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,0
