topology,amplitude,sample,target_component,group_type,group_value,c_alpha_x_sum,IPC_alpha_clipped_sum,weighted_contribution_x_sum,num_terms,basis_nmse_x,basis_adequacy_label_x
topology_10_prestress,amp=2.5,sample_2,x,degree,1,1.9596738452091813,2.899046438529592,1.9509115330650197,3,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,readout_time_delay,2,0.011950337328016758,0.9243115703181041,0.011045835061490225,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,target_time_delay,7,0.011950337328016758,0.9243115703181041,0.011045835061490225,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,readout_time_delay,1,0.3105592727661133,0.9747435286065421,0.3027156413775229,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,target_time_delay,6,0.3105592727661133,0.9747435286065421,0.3027156413775229,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,readout_time_delay,0,1.6371642351150513,0.9999913396049458,1.6371500566260067,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_2,x,target_time_delay,5,1.6371642351150513,0.9999913396049458,1.6371500566260067,1,0.2961127114837593,partial
topology_10_prestress,amp=2.5,sample_3,x,degree,1,1.9310258673503995,2.883747505278884,1.9201843863814223,3,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,readout_time_delay,2,0.011034761555492878,0.9163040803709179,0.010111197039218261,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,target_time_delay,7,0.011034761555492878,0.9163040803709179,0.010111197039218261,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,readout_time_delay,1,0.29933640360832214,0.9675740129358732,0.28963012525709647,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,target_time_delay,6,0.29933640360832214,0.9675740129358732,0.28963012525709647,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,readout_time_delay,0,1.6206547021865845,0.9998694119720929,1.6204430640851075,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_3,x,target_time_delay,5,1.6206547021865845,0.9998694119720929,1.6204430640851075,1,0.29708692772287115,partial
topology_10_prestress,amp=2.5,sample_4,x,degree,1,1.9560113418847322,2.9020059794568285,1.947434735723696,3,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,readout_time_delay,2,0.010632174089550972,0.9275595812672748,0.009861974946464668,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,target_time_delay,7,0.010632174089550972,0.9275595812672748,0.009861974946464668,1,0.2961151318931877,partial
topology_10_prestress,amp=2.5,sample_4,x,readout_time_delay,1,0.3053037226200104,0.974449992256457,0.2975032101429366,1,0.2961151318931877,partial
