sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_4,11,x,2676.603622315102,2738.24828497383,2712.138809699541,2668.403249224636,2743.2183805316513,2722.5266376826594,0.0,8.200373090465746,17.150466442108154,False
sample_4,11,y,1331.6942247039967,1338.727132099206,1335.1587883762086,1331.7498782057974,1338.6292106136834,1333.558425202284,0.0,0.0,14.948266506195068,False
sample_4,12,x,1152.2226569158909,1155.828980337198,1154.3228900809304,1152.5329721349042,1155.6798673976796,1154.7605456417587,0.0,0.0,14.948266506195068,True
sample_4,12,y,1934.7607508387478,1938.0343944477167,1936.408799173717,1934.6224573930042,1937.4561632055309,1936.327827559504,0.0,0.13829344574355673,19.018999814987183,True
sample_4,13,x,1680.1868683062442,1699.9280829531608,1689.845231280719,1677.911366305845,1699.9889386986392,1691.5577684123966,0.0,2.2755020003992286,16.31629991531372,False
sample_4,13,y,1784.4067286071868,1875.145929179771,1827.442480484939,1780.464302097127,1868.6515439409318,1801.6321974953314,0.0,3.942426510059704,17.150466442108154,False
sample_4,14,x,2198.5192101139223,2210.9188671621073,2205.210354636885,2197.9820205629408,2210.318101998188,2204.5652127403523,0.0,0.5371895509815658,16.75006651878357,False
sample_4,14,y,1779.7396006655574,1871.5062021289827,1824.9653102600912,1769.0608336859923,1868.850328492855,1806.0478075219066,0.0,10.678766979565125,17.150466442108154,False
sample_4,15,x,2763.852131747956,2767.130594245672,2765.673981638591,2763.892854066532,2767.2657399977566,2765.888017676442,0.0,0.13514575208455426,19.152466535568237,True
sample_4,15,y,1890.8289597041241,1894.0752766001447,1892.3378688715145,1890.7386521248457,1893.6085058661142,1892.323360243481,0.0,0.09030757927848754,19.018999814987183,True
